N	2gram	Bakhtin_Fr_4	IolandNe
1	и с	9	3
2	и не	16	2
3	в этом	11	2
4	он не	3	2
5	что в	1	2
6	ничего не	1	2
7	себя в	2	1
8	все это	4	1
9	автора и	1	1
10	и др	4	1
11	и тот	2	1
12	и в	29	1
13	только что	1	1
14	и о	5	1
15	в эту	3	1
16	с жизнью	2	1
17	какую роль	1	1
18	них не	1	1
19	того же	5	1
20	жил в	1	1
21	и со	2	1
22	с другой	4	1
23	и та	1	1
24	др он	1	1
25	это было	1	1
26	вплоть до	1	1
27	того что	3	1
28	и создавал	1	1
29	не дает	1	1
30	и без	1	1
31	это был	2	1
32	свою жену	1	1
33	нечто и	1	1
34	на котором	2	1
35	а с	1	1
36	другой стороны	3	1
37	для него	1	1
38	а также	2	1
39	в основе	2	1
40	говорить о	1	1
41	и сам	3	1
42	слишком много	1	1
43	так и	11	1
44	того чтобы	3	1
45	не случайно	3	1
46	никогда не	2	1
47	к отцу	1	1
48	когда его	1	1
49	только для	4	1
50	жизни и	4	1
51	и очень	1	1
52	эпизод с	2	1
53	тем что	4	1
54	в целом	1	1
55	в них	7	1
56	все эти	9	1
57	но когда	1	1
58	и имеется	1	1
59	со всеми	1	1
60	если бы	1	1
61	для того	3	1
