N	2gram	Bakhtin_Fr_7	Narrotol
1	не только	5	32
2	может быть	4	25
3	но и	9	23
4	в качестве	9	21
5	и не	7	20
6	то есть	20	19
7	и в	41	19
8	в том	11	18
9	в этом	15	17
10	в частности	1	14
11	не в	9	14
12	том что	4	14
13	а не	2	12
14	тогда как	1	12
15	своего рода	2	12
16	а в	5	11
17	то что	8	11
18	не может	3	10
19	точки зрения	5	10
20	так и	10	9
21	в его	12	9
22	при этом	3	9
23	в мире	3	9
24	в себе	11	8
25	во времени	2	8
26	и т.п	9	8
27	героя в	1	8
28	все же	1	7
29	еще не	2	7
30	как и	14	7
31	времени и	1	7
32	к тому	2	7
33	такого рода	1	7
34	и т.д	2	7
35	по отношению	2	7
36	а также	2	7
37	ни для	1	7
38	как в	5	7
39	отношению к	2	6
40	тем самым	3	6
41	как это	1	6
42	но не	1	6
43	в себя	2	6
44	в той	3	6
45	но в	8	6
46	именно в	2	6
47	о том	6	6
48	том числе	4	6
49	что он	3	6
50	точка зрения	2	6
51	с его	2	6
52	в форме	3	5
53	к нему	5	5
54	по себе	1	5
55	мира в	4	5
56	картина мира	2	5
57	между двумя	1	5
58	отличие от	1	5
59	и его	9	5
60	картины мира	4	5
61	тому же	1	5
62	уже не	2	5
63	в этой	13	5
64	далеко не	2	5
65	себя в	1	5
66	в основе	1	5
67	к себе	1	5
68	и как	2	5
69	в данном	2	5
70	не мог	2	4
71	и с	4	4
72	же время	9	4
73	все те	2	4
74	данном случае	1	4
75	прежде всего	11	4
76	здесь не	1	4
77	числе и	2	4
78	но все	4	4
79	одной из	2	4
80	в рассказе	1	4
81	то же	13	4
82	героя и	1	4
83	в силу	1	4
84	только в	6	4
85	было как	2	4
86	в особенности	2	4
87	и тем	1	4
88	у него	6	4
89	связи с	1	4
90	же в	2	4
91	было бы	4	4
92	одного из	2	4
93	перед нами	2	4
94	из которых	2	4
95	о нем	3	4
96	как бы	7	4
97	сказать что	1	4
98	в нем	7	4
99	во втором	1	4
100	но о	1	3
101	это и	1	3
102	жизни и	3	3
103	не есть	2	3
104	этого эпизода	1	3
105	на том	2	3
106	что они	1	3
107	в эпизоде	5	3
108	не будет	1	3
109	ни было	2	3
110	и самого	2	3
111	по своей	1	3
112	что в	9	3
113	в ее	1	3
114	особенно в	2	3
115	между тем	1	3
116	никогда не	2	3
117	хотя и	4	3
118	не с	1	3
119	на него	1	3
120	с ее	3	3
121	как мы	11	3
122	в то	10	3
123	в сущности	4	3
124	что это	4	3
125	ни в	6	3
126	один из	1	3
127	свою очередь	3	3
128	тем что	3	3
129	в первом	1	3
130	одна из	4	3
131	этом отношении	2	3
132	и на	4	3
133	он не	4	3
134	в ней	5	3
135	уже в	5	3
136	из них	3	3
137	обратимся к	1	3
138	и даже	1	3
139	в свою	3	3
140	все эти	13	2
141	что по	1	2
142	одним из	1	2
143	в значительной	2	2
144	оно не	2	2
145	должна быть	1	2
146	в связи	2	2
147	от всех	1	2
148	или в	2	2
149	в литературе	2	2
150	говорит о	1	2
151	в двух	1	2
152	они все	1	2
153	о прошлом	1	2
154	так же	5	2
155	и для	5	2
156	здесь и	2	2
157	в область	3	2
158	происходит и	1	2
159	и ее	2	2
160	не было	3	2
161	она может	1	2
162	выступает в	1	2
163	и все	14	2
164	есть в	6	2
165	на первый	1	2
166	наконец в	1	2
167	даже в	1	2
168	к которому	1	2
169	иное как	1	2
170	они в	2	2
171	та же	4	2
172	на другой	2	2
173	от одного	1	2
174	к самому	2	2
175	одно из	1	2
176	его в	3	2
177	другой день	1	2
178	или даже	1	2
179	со смертью	1	2
180	его как	2	2
181	время в	2	2
182	все то	3	2
183	вокруг него	1	2
184	в результате	2	2
185	при всем	1	2
186	отношение к	2	2
187	например в	3	2
188	для него	6	2
189	между ними	1	2
190	смерти и	1	2
191	во всей	2	2
192	отношения к	1	2
193	дело с	1	2
194	в таком	1	2
195	по всей	1	2
196	значительной степени	2	2
197	что иное	1	2
198	том свете	1	2
199	богу не	1	2
200	первом случае	1	2
201	с точки	3	2
202	он сам	1	2
203	и после	1	2
204	при всех	1	2
205	они не	1	2
206	что у	3	2
207	нового времени	3	2
208	что на	1	2
209	не на	3	2
210	мира и	4	2
211	во второй	2	2
212	и потому	3	2
213	ничего не	4	2
214	лица и	3	2
215	его жизни	1	2
216	как к	1	2
217	о чем	1	2
218	или менее	2	2
219	ему в	1	2
220	что были	1	2
221	и др	2	2
222	различие между	1	2
223	к другому	1	2
224	что именно	1	2
225	по существу	8	2
226	эпизодов в	1	2
227	не что	1	2
228	точкой зрения	1	2
229	картину мира	1	2
230	она не	1	2
231	не являются	1	2
232	и когда	1	2
233	роль в	2	2
234	несмотря на	3	2
235	эпизоды в	1	2
236	времени в	1	2
237	не как	1	2
238	о своей	1	2
239	но без	2	2
240	тем более	1	2
241	встречается в	1	2
242	не имеет	3	2
243	на свой	1	2
244	а иногда	1	2
245	самом деле	1	2
246	это не	6	2
247	который в	1	2
248	жизнью и	1	2
249	но от	1	2
250	именно это	1	2
251	или ином	1	2
252	можно было	3	2
253	человека в	2	2
254	том или	1	2
255	мы имеем	2	2
256	в своем	9	2
257	он уже	1	2
258	всей его	1	2
259	и до	6	2
260	более или	2	2
261	его от	1	1
262	в дальнейшей	1	1
263	и там	1	1
264	может и	1	1
265	преимущественно в	1	1
266	и иных	1	1
267	от которой	1	1
268	образом и	2	1
269	ему даже	1	1
270	такой эпизод	2	1
271	и здесь	4	1
272	не знает	3	1
273	но она	1	1
274	почву для	1	1
275	в свое	2	1
276	и наконец	4	1
277	к их	1	1
278	когда же	1	1
279	в другом	1	1
280	отрыве от	2	1
281	в него	1	1
282	в столь	1	1
283	в обеих	1	1
284	было показано	1	1
285	очень часто	3	1
286	но одновременно	1	1
287	рассказ о	2	1
288	место в	4	1
289	но он	4	1
290	аналогии с	1	1
291	о котором	2	1
292	этот ряд	1	1
293	от этого	3	1
294	в плане	5	1
295	с совершенно	1	1
296	к концу	1	1
297	иногда и	1	1
298	только когда	1	1
299	как таковое	1	1
300	нельзя сказать	1	1
301	кто не	1	1
302	есть нечто	1	1
303	для всего	1	1
304	в настоящем	1	1
305	и развития	1	1
306	но по	2	1
307	обращается к	1	1
308	и старые	1	1
309	вовсе не	7	1
310	к рассказу	1	1
311	имеет значения	1	1
312	связь с	1	1
313	таким образом	19	1
314	к ее	1	1
315	не по	1	1
316	свое время	2	1
317	с ним	2	1
318	открыл глаза	1	1
319	напомнить что	1	1
320	мировой истории	1	1
321	процесса не	1	1
322	видит в	1	1
323	и во	2	1
324	низа и	1	1
325	в тех	1	1
326	человеческая жизнь	1	1
327	мы не	2	1
328	не так	1	1
329	и смерть	1	1
330	в конце	8	1
331	образом на	1	1
332	друг от	1	1
333	время они	1	1
334	даль и	1	1
335	дело не	2	1
336	человек не	1	1
337	в системе	1	1
338	от него	1	1
339	во всех	3	1
340	а на	2	1
341	организующую роль	1	1
342	там же	1	1
343	с начала	2	1
344	характерно для	2	1
345	от друга	1	1
346	того насколько	1	1
347	об этом	1	1
348	в их	3	1
349	и через	1	1
350	более того	1	1
351	это мир	1	1
352	это ощущение	1	1
353	в это	3	1
354	возможность увидеть	1	1
355	внешняя сторона	1	1
356	по его	1	1
357	со всеми	2	1
358	из монастыря	1	1
359	в отрыве	2	1
360	оно и	2	1
361	совсем не	3	1
362	там и	1	1
363	умирающего и	1	1
364	над ними	1	1
365	его и	1	1
366	в году	5	1
367	связаны с	2	1
368	пространстве его	1	1
369	вверх и	1	1
370	ничем не	3	1
371	есть не	2	1
372	и воскрешения	1	1
373	на четвертую	1	1
374	мир не	2	1
375	этом смысле	1	1
376	к жизни	4	1
377	и сама	2	1
378	с этой	1	1
379	а всякий	1	1
380	перемещается в	1	1
381	здесь в	1	1
382	до нас	5	1
383	того что	2	1
384	потому что	5	1
385	здесь это	1	1
386	свидетельствует о	2	1
387	характерное для	1	1
388	и формы	1	1
389	в начале	1	1
390	для такого	1	1
391	было не	1	1
392	в следующей	1	1
393	и времени	2	1
394	здесь только	2	1
395	как об	1	1
396	в первый	1	1
397	едином но	1	1
398	мира с	1	1
399	для романа	1	1
400	и верха	2	1
401	можно определить	1	1
402	различные формы	1	1
403	вне ее	1	1
404	границы между	1	1
405	мысли и	1	1
406	для кого	1	1
407	что один	1	1
408	жить в	1	1
409	разных местах	1	1
410	широкое распространение	1	1
411	свете в	1	1
412	в новом	1	1
413	и прежде	1	1
414	на фоне	1	1
415	какую бы	1	1
416	а как	1	1
417	он может	3	1
418	культуры с	1	1
419	на самом	2	1
420	в последующих	1	1
421	и при	1	1
422	они и	2	1
423	есть прежде	1	1
424	в монастыре	1	1
425	это существо	1	1
426	никто не	10	1
427	в разрезе	1	1
428	все время	2	1
429	году в	1	1
430	у нас	1	1
431	есть то	2	1
432	к его	1	1
433	у большинства	1	1
434	у всех	1	1
435	оно имеет	1	1
436	свою жизнь	1	1
437	одновременно в	1	1
438	тот же	2	1
439	на одном	5	1
440	что было	1	1
441	слов и	4	1
442	мы видели	5	1
443	в чем	2	1
444	слава богу	1	1
445	поэтому и	3	1
446	но уже	1	1
447	дело в	2	1
448	и от	8	1
449	всего к	1	1
450	что эпизод	1	1
451	с которыми	1	1
452	до наших	1	1
453	но на	1	1
454	того же	3	1
455	содержит в	1	1
456	мы увидим	1	1
457	сливаются в	1	1
458	этот момент	1	1
459	начала и	2	1
460	как только	1	1
461	наших дней	1	1
462	в слове	1	1
463	а теперь	1	1
464	жизни с	1	1
465	едва ли	1	1
466	и брани	3	1
467	элементы в	1	1
468	мир как	1	1
469	или меньшую	1	1
470	типов но	1	1
471	времени а	1	1
472	что все	2	1
473	может иметь	2	1
474	в состоянии	2	1
475	а во-вторых	1	1
476	по своему	2	1
477	однако и	1	1
478	как от	1	1
479	в них	7	1
480	не должен	1	1
481	сам по	1	1
482	тех кто	1	1
483	слова в	1	1
484	в котором	1	1
485	мы уже	12	1
486	из древнейших	1	1
487	форм но	1	1
488	с таким	1	1
489	переходит к	1	1
490	всем своем	1	1
491	зрения не	1	1
492	том же	1	1
493	также не	1	1
494	так сказать	3	1
495	подлежит сомнению	1	1
496	и делает	1	1
497	в историческом	2	1
498	в самом	1	1
499	таким же	3	1
500	пространства и	2	1
501	на другом	2	1
502	что и	5	1
503	он как	1	1
504	становление мира	1	1
505	не могут	1	1
506	в едином	1	1
507	мира это	1	1
508	а он	1	1
509	словами он	1	1
510	в процессе	2	1
511	является для	1	1
512	далее по	1	1
513	более что	1	1
514	присутствие в	1	1
515	еще раз	1	1
516	и оказывается	2	1
517	на этом	5	1
518	в единой	2	1
