N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	54
2	и не	11	27
3	а не	17	26
4	это значит	1	24
5	значит что	4	24
6	и в	16	24
7	не только	5	23
8	что такое	3	21
9	по себе	1	20
10	не может	16	19
11	и есть	10	16
12	и что	2	15
13	то что	4	14
14	что все	2	14
15	и даже	2	13
16	может быть	7	13
17	что он	1	13
18	есть и	1	12
19	есть только	1	12
20	не имеет	4	11
21	не менее	4	11
22	в сущности	1	10
23	не существует	3	10
24	ни в	6	9
25	но и	3	9
26	то это	1	9
27	нет ничего	1	9
28	что она	2	9
29	это есть	7	8
30	в этом	7	8
31	прежде всего	4	8
32	что мы	1	8
33	том что	2	8
34	есть нарушение	1	7
35	потому что	4	7
36	нет никакого	1	7
37	что в	9	7
38	ничем не	1	7
39	как и	7	7
40	это и	2	7
41	в самом	1	7
42	и нет	1	7
43	никогда не	6	7
44	я уже	2	7
45	в виду	1	7
46	оно не	1	6
47	должна быть	3	6
48	и жизни	1	6
49	и все	4	6
50	и с	2	6
51	и только	1	6
52	превращается в	1	6
53	но если	1	6
54	не на	1	6
55	все это	5	6
56	о том	4	6
57	я не	2	6
58	и пр	3	6
59	так как	1	6
60	ничего нет	1	5
61	от всякого	2	5
62	вопрос о	3	5
63	или не	1	5
64	как на	1	5
65	что его	1	5
66	мы не	2	5
67	он не	8	5
68	как это	2	5
69	есть всегда	1	5
70	жизни и	8	5
71	в том	8	5
72	хотя и	2	5
73	и его	1	5
74	что не	1	5
75	в то	2	5
76	всегда есть	1	5
77	уже не	2	5
78	в них	4	5
79	или нет	1	5
80	и к	5	5
81	так и	2	5
82	было бы	1	5
83	только в	1	5
84	но это	6	5
85	с другой	3	4
86	говорить о	1	4
87	что нет	1	4
88	так же	2	4
89	у нас	1	4
90	время как	2	4
91	истории мы	2	4
92	хотя бы	2	4
93	нет и	2	4
94	к тому	3	4
95	это не	4	4
96	сказать ни	1	4
97	в чем	1	4
98	сказать что	3	4
99	от того	1	4
100	в истории	3	4
101	если нет	2	4
102	не могут	1	4
103	и мира	1	4
104	истории и	9	4
105	подобно тому	3	4
106	то время	1	4
107	чтобы быть	1	4
108	и это	2	4
109	конечно не	3	4
110	тому как	3	4
111	все эти	2	3
112	не значит	3	3
113	не знает	6	3
114	но она	2	3
115	должны быть	1	3
116	мир и	2	3
117	не будет	7	3
118	не было	4	3
119	вопрос об	1	3
120	есть в	2	3
121	к нему	1	3
122	не в	6	3
123	движения и	1	3
124	к природе	1	3
125	мир в	1	3
126	сами по	1	3
127	за пределы	3	3
128	все время	2	3
129	в силу	1	3
130	и от	2	3
131	мира и	2	3
132	во всем	1	3
133	зависимости от	1	3
134	для того	1	3
135	должно быть	4	3
136	тем что	1	3
137	это было	3	3
138	в основе	3	3
139	друг друга	1	3
140	одной стороны	2	3
141	одна из	2	3
142	мы уже	1	3
143	с одной	2	3
144	только одна	1	3
145	особого рода	1	3
146	и на	2	3
147	есть еще	1	3
148	она не	3	3
149	он есть	1	3
150	с этим	2	3
151	в каком	1	3
152	на себя	1	3
153	не больше	1	3
154	из них	1	3
155	быть может	4	3
156	ни к	2	3
