N	3gram	Tiupa_Lite_1	Stilisti
1	в то же	5	9
2	в зависимости от	1	7
3	то же время	5	7
4	мы никогда не	1	5
5	с точки зрения	2	5
6	прежде всего в	3	4
7	ту или иную	2	4
8	в свою очередь	1	4
9	с самого начала	1	4
10	на самом деле	1	3
11	не только в	4	3
12	и тем самым	2	3
13	но все же	1	3
14	и не только	1	2
15	в этом отношении	2	2
16	тот или иной	1	2
17	только потому что	1	2
18	в значительной степени	1	2
19	но в то	1	2
20	на первый взгляд	1	2
21	но при этом	2	2
22	чуть ли не	2	2
23	не может быть	1	2
24	что перед нами	1	2
25	и тем же	1	2
26	о том что	2	2
27	в связи с	4	2
28	тех или иных	1	2
29	деятельности направленной к	1	1
30	в другом месте	1	1
31	и того же	1	1
32	сознания прежде всего	1	1
33	в хх веке	5	1
34	теми или иными	1	1
35	одним и тем	1	1
36	по отношению к	2	1
37	не говоря уже	2	1
38	говоря уже об	1	1
39	в самом деле	1	1
40	общей для них	1	1
41	как раз и	1	1
42	до сих пор	1	1
43	литература и т.п	1	1
44	при этом не	1	1
45	несмотря на свою	1	1
46	можно было бы	1	1
47	и от самой	1	1
48	образом если б	1	1
49	по крайней мере	1	1
50	хотя бы на	1	1
51	жизни и в	1	1
52	каждому из них	1	1
53	в большинстве случаев	1	1
54	к нему другими	1	1
55	как бы два	1	1
56	и в этом	1	1
57	тем не менее	2	1
58	как это ни	1	1
59	по большей части	1	1
60	иметь в виду	1	1
61	если и не	1	1
62	по ту сторону	1	1
63	решающую роль в	1	1
64	это еще не	1	1
65	в конечном счете	4	1
66	не только на	1	1
67	точки зрения было	1	1
68	места и его	1	1
69	в русской литературе	3	1
70	и тем более	1	1
71	с другой стороны	1	1
72	только в том	2	1
73	одного и того	1	1
74	в исторической жизни	1	1
75	бытие человека и	1	1
76	отношению к действительности	1	1
77	в том что	11	1
78	слово как таковое	1	1
79	перед нами не	1	1
80	не нуждается в	1	1
81	на наш взгляд	5	1
