N	2gram	Bakhtin_Pr_2	Tragedij
1	и в	45	18
2	петра верховенского	1	17
3	и оскорбленных	1	17
4	униженных и	1	16
5	в романе	3	10
6	в году	1	9
7	в этом	20	9
8	в бесах	1	9
9	не только	16	8
10	он сам	6	7
11	и с	7	7
12	и на	7	7
13	достоевский в	5	7
14	может быть	18	7
15	как бы	15	7
16	и не	42	7
17	но в	6	6
18	и его	8	6
19	в образе	3	6
20	же время	3	6
21	что он	7	6
22	у него	6	6
23	то же	5	5
24	все же	4	5
25	он вдруг	1	5
26	это не	3	5
27	как и	14	5
28	несмотря на	1	5
29	в то	5	5
30	в дальнейшем	2	5
31	так и	3	5
32	это очень	2	5
33	не может	24	5
34	у достоевского	14	5
35	а я	1	5
36	он всегда	1	4
37	я не	6	4
38	еще не	9	4
39	в себе	5	4
40	в целом	5	4
41	в этой	1	4
42	в нем	20	4
43	об этом	3	4
44	том что	7	4
45	что я	1	4
46	достоевский не	3	4
47	и что	2	4
48	но и	15	4
49	я люблю	1	4
50	и даже	3	4
51	прежде всего	11	4
52	так же	5	4
53	но это	2	4
54	все это	5	4
55	этот образ	1	4
56	что в	6	4
57	и все	1	4
58	то что	5	4
59	что образ	2	3
60	достоевского в	4	3
61	в мире	3	3
62	и он	3	3
63	как в	4	3
64	в своем	5	3
65	и как	2	3
66	все эти	4	3
67	при этом	2	3
68	то есть	50	3
69	должно быть	4	3
70	сам достоевский	2	3
71	тем самым	2	3
72	что с	1	3
73	о чем	1	3
74	своего отца	1	3
75	с ее	3	3
76	и сам	3	3
77	iii в	1	3
78	жизнь и	3	3
79	с ним	8	3
80	к нему	11	3
81	в его	22	3
82	один из	2	3
83	романа и	4	3
84	уже в	4	3
85	для него	9	3
86	смысл жизни	1	3
87	в конце	4	3
88	как будто	1	3
89	как это	2	3
90	в основном	1	3
91	ивана карамазова	4	2
92	вряд ли	1	2
93	в первом	1	2
94	и до	4	2
95	а как	4	2
96	из своих	2	2
97	никогда не	17	2
98	не был	2	2
99	в преступлении	2	2
100	с его	8	2
101	роман достоевского	2	2
102	автора но	2	2
103	отношение к	8	2
104	отличие от	1	2
105	так что	2	2
106	о жизни	1	2
107	романах достоевского	6	2
108	перед нами	4	2
109	я к	1	2
110	в самом	13	2
111	бы и	3	2
112	он не	9	2
113	степан трофимович	1	2
114	что она	4	2
115	но все	4	2
116	что все	3	2
117	его в	3	2
118	к области	1	2
119	степана трофимовича	1	2
