N	2gram	Tiupa_Narr_1	Formalny
1	и в	19	38
2	в этом	17	27
3	может быть	25	23
4	и его	5	21
5	и пр	1	21
6	таким образом	1	20
7	и не	20	20
8	в самом	1	16
9	не в	14	15
10	прежде всего	4	15
11	не может	10	14
12	в нем	4	13
13	связи с	4	13
14	но и	23	13
15	в пределах	2	12
16	языка и	2	12
17	с его	6	11
18	в том	18	11
19	вовсе не	1	11
20	с другими	1	10
21	в его	9	10
22	в связи	2	10
23	не только	32	9
24	при этом	9	9
25	и с	4	9
26	как и	7	9
27	в процессе	1	9
28	самом деле	2	8
29	отнюдь не	5	8
30	все же	7	8
31	точки зрения	10	8
32	так и	9	8
33	что и	1	8
34	тем что	3	8
35	в первом	3	7
36	как мы	3	7
37	лишь в	1	7
38	по себе	5	7
39	для него	2	7
40	с точки	2	7
41	во втором	4	7
42	уже не	5	7
43	этом отношении	3	7
44	не могут	1	7
45	по существу	2	7
46	что в	3	7
47	и ее	2	6
48	в ней	3	6
49	все эти	2	6
50	в этой	5	6
51	то же	4	6
52	было бы	4	6
53	он не	3	6
54	в их	1	6
55	могут быть	3	6
56	все время	1	6
57	только в	4	6
58	как такового	1	6
59	то что	11	6
60	не было	2	6
61	а не	12	6
62	речевого общения	1	6
63	как раз	2	6
64	в результате	2	6
65	хотя бы	4	6
66	а в	11	6
67	это и	3	5
68	должна быть	2	5
69	в первый	1	5
70	говорить о	2	5
71	во всех	1	5
72	в общем	1	5
73	в слове	1	5
74	в то	3	5
75	в основе	5	5
76	же время	4	5
77	если бы	1	5
78	сводится к	3	5
79	и только	2	5
80	что он	6	5
81	именно в	6	5
82	более того	1	5
83	и для	2	5
84	или иного	2	5
85	здесь и	2	4
86	в сущности	3	4
87	одним словом	1	4
88	что оно	1	4
89	что они	3	4
90	независимо от	2	4
91	как в	7	4
92	и наконец	1	4
93	и к	1	4
94	как таковое	1	4
95	не как	2	4
96	его от	1	4
97	как они	1	4
98	входит в	1	4
99	мы видели	1	4
100	не столько	4	4
101	как о	1	4
102	ничего не	2	4
103	к тому	7	4
104	здесь не	4	4
105	того или	2	4
106	но в	6	4
107	чем он	1	4
108	что не	4	4
109	из них	3	4
110	не о	3	4
111	лишь для	1	4
112	в особенности	4	4
113	именно как	1	4
114	и даже	3	4
115	другой стороны	4	4
116	на фоне	1	4
117	как бы	4	4
118	известной степени	1	4
119	значением в	1	4
120	совершенно не	2	4
121	оно не	2	4
122	они не	2	4
