N	3gram	Medvedev_U_1	Sovremen
1	не может быть	4	4
2	друг с другом	1	2
3	то же самое	2	2
4	по крайней мере	2	1
5	не могут быть	2	1
6	не в том	1	1
7	это то же	1	1
8	равно как и	1	1
9	он может быть	1	1
10	в этом смысле	2	1
11	а не только	1	1
12	в этом случае	1	1
13	не было бы	1	1
14	до сих пор	2	1
15	то же время	3	1
16	и в то	1	1
17	и т.д пока	1	1
18	бы то ни	3	1
19	в конечном счете	4	1
20	в самом деле	2	1
21	и прежде всего	1	1
22	конечном счете только	1	1
23	в то же	3	1
24	что все они	1	1
25	в том что	2	1
26	в этой области	3	1
27	в данном случае	1	1
28	этом смысле можно	1	1
29	может быть в	1	1
30	то ни было	3	1
31	же самое что	1	1
32	с одной стороны	1	1
