N	4gram	Losev_Prob_2	SlovoVZh
1	бы то ни было	1	3
2	но тем не менее	1	2
3	с одной стороны и	3	2
4	бы мы ни анализировали	1	2
5	в то время как	1	1
6	мы имеем в виду	1	1
7	и с другой стороны	1	1
8	все более и более	1	1
9	до сих пор мы	1	1
10	одной стороны и с	1	1
11	сих пор мы касались	1	1
12	и не может быть	1	1
13	на самом же деле	1	1
14	так же как и	1	1
15	один и тот же	2	1
16	и в частности в	2	1
17	если бы не было	3	1
18	в том что в	1	1
19	что до сих пор	1	1
20	одним и тем же	1	1
21	какой бы то ни	1	1
