1	и в	25	49
2	прежде всего	4	19
3	в его	15	18
4	и его	2	17
5	и на	6	17
6	не только	6	17
7	в этом	14	15
8	и не	10	15
9	в эпоху	1	13
10	в них	2	13
11	но и	4	13
12	только в	10	13
13	как бы	10	11
14	как и	15	11
15	в этой	5	10
16	вовсе не	1	10
17	для него	5	9
18	все это	6	9
19	в нем	2	9
20	в сущности	1	8
21	отношение к	1	8
22	все эти	7	7
23	то же	2	7
24	один из	6	7
25	не может	6	7
26	как мы	8	7
27	таким образом	17	7
28	все же	6	7
29	здесь в	1	6
30	точки зрения	6	6
31	именно в	5	6
32	то что	15	6
33	во всех	1	6
34	сказать что	4	6
35	мы уже	5	6
36	и с	1	6
37	в себя	3	6
38	так и	5	6
39	с их	2	6
40	в то	4	6
41	так как	12	6
42	выражение в	1	5
43	с точки	1	5
44	уже говорили	5	5
45	при этом	5	5
46	может быть	13	5
47	и потому	2	5
48	уже в	7	5
49	никогда не	4	5
50	но не	6	5
51	с его	2	5
52	относится к	1	5
53	в начале	2	5
54	в своей	2	5
55	тот же	2	5
56	роль в	1	5
57	из этих	4	5
58	в основном	6	5
59	в своем	4	5
60	в эту	2	5
61	значение в	3	4
62	в своих	2	4
63	этот момент	2	4
64	тем что	8	4
65	характер и	1	4
66	с ним	4	4
67	но в	1	4
68	одна из	2	4
69	как на	2	4
70	с другой	6	4
71	том что	20	4
72	до сих	1	4
73	но все	2	4
74	в форме	1	4
75	благодаря этому	6	4
76	а в	4	4
77	в себе	2	4
78	и к	5	4
79	в этих	2	4
80	и до	1	4
81	там где	4	4
82	и во	2	4
83	сих пор	1	4
84	и более	1	4
85	в известной	1	4
86	мы находим	1	4
87	в жизни	3	4
88	она была	1	4
89	в области	7	4
90	отношения к	1	4
91	этот процесс	3	4
92	несмотря на	1	3
93	в ее	1	3
94	мире и	1	3
95	же в	2	3
96	было бы	10	3
97	и вообще	1	3
98	к этим	1	3
99	этом отношении	3	3
100	да и	1	3
