N	3gram	Kanaev_Sov_1	Istorich
1	так же как	1	4
2	с одной стороны	1	4
3	тем не менее	2	4
4	в том что	1	4
5	мы уже знаем	1	3
6	мы видим что	1	3
7	не может быть	4	3
8	в данном случае	1	3
9	уже знаем что	1	2
10	на этот вопрос	1	2
11	до сих пор	1	2
12	так как он	2	2
13	но тем не	1	2
14	мы не можем	6	2
15	но все же	1	2
16	мы знаем что	1	1
17	с точки зрения	5	1
18	оно может быть	1	1
19	по отношению к	1	1
20	и может быть	1	1
21	в самом деле	1	1
22	для наших целей	1	1
23	в этом случае	1	1
24	то же самое	2	1
25	в зависимости от	4	1
26	мы должны признать	1	1
27	бы то ни	1	1
28	и та же	1	1
29	совершенно так же	1	1
30	можно было бы	1	1
31	одна из них	1	1
32	условия при которых	1	1
33	в предыдущей главе	1	1
34	то ни было	1	1
35	и тот же	1	1
36	друг на друга	1	1
37	как он выражается	1	1
38	в которой он	1	1
39	в связи с	1	1
40	это означало бы	1	1
41	одна и та	1	1
42	один и тот	1	1
43	до наших дней	1	1
44	но уже в	1	1
45	должен быть поставлен	1	1
46	такое объяснение не	1	1
47	это значит что	1	1
48	но все эти	1	1
49	мы можем назвать	2	1
50	но мы уже	1	1
51	по его мнению	1	1
52	она не может	1	1
53	ли он в	1	1
54	мы видели что	3	1
