N	3gram	Losev_Vlad_3	formyVre
1	с точки зрения	6	8
2	в связи с	2	7
3	для того чтобы	1	7
4	не только в	1	5
5	в том же	1	4
6	то же время	2	4
7	в то же	3	4
8	в том числе	1	3
9	о том как	1	3
10	и в то	2	3
11	и в этом	5	3
12	в том что	10	3
13	а следовательно и	1	2
14	что в этом	2	2
15	то же самое	1	2
16	в этом случае	1	2
17	на первый план	2	2
18	в дальнейшем мы	1	2
19	до сих пор	1	2
20	он не был	1	2
21	может быть и	1	2
22	и должно быть	1	2
23	потому что они	1	2
24	в этом отношении	2	2
25	это значит что	6	2
26	это же самое	2	1
27	не может не	1	1
28	это учение о	2	1
29	такие слова и	1	1
30	сводится к тому	2	1
31	в виду что	1	1
32	по вопросу о	1	1
33	в котором он	1	1
34	и так сказать	1	1
35	оно не может	2	1
36	есть прежде всего	2	1
37	так что в	1	1
38	том что он	1	1
39	как об этом	1	1
40	и не только	1	1
41	только в том	3	1
42	находится в состоянии	1	1
43	как то что	1	1
44	в конце концов	5	1
45	в отличие от	3	1
46	но в данном	1	1
47	а так как	1	1
48	то что в	3	1
49	же самое время	1	1
50	как это делают	1	1
51	значит что все	1	1
52	это вовсе не	1	1
53	что весь этот	1	1
54	времени то есть	1	1
55	он не мог	1	1
56	с тех пор	1	1
57	значении этого слова	1	1
58	с этой точки	1	1
59	вместе с тем	6	1
60	одно и то	1	1
61	того чтобы не	1	1
62	важную роль в	1	1
63	то время как	2	1
64	в данном случае	2	1
65	о которых мы	1	1
66	с одной стороны	3	1
67	в себя и	1	1
68	и то же	1	1
69	а также и	6	1
70	и никак не	1	1
71	всего бытия и	1	1
72	иначе он не	1	1
73	в связи со	1	1
74	с другой стороны	2	1
75	не может быть	6	1
76	этой точки зрения	1	1
77	у него и	1	1
78	бы он ни	1	1
79	но в конце	1	1
80	не был бы	1	1
81	в то время	4	1
82	и вместе с	2	1
83	о том что	8	1
84	с тем что	1	1
85	с самого начала	1	1
86	между ними нет	1	1
87	выходит за пределы	1	1
88	не выходит за	1	1
89	и в результате	1	1
90	также и в	2	1
91	в данном отношении	1	1
92	а вместе с	1	1
93	уже не только	1	1
94	к тому что	2	1
95	иной раз и	2	1
96	что есть и	1	1
97	нечего и говорить	1	1
98	того что люди	1	1
99	там же в	1	1
100	что и в	3	1
101	как мы видели	3	1
102	той или иной	1	1
