N	4gram	Potebnia_M_3	VeschiIm
1	одно и то же	5	5
2	в то же время	5	4
3	и то же понятие	1	3
4	заключается в том что	1	2
5	но и то что	1	1
6	или по крайней мере	1	1
7	с одной стороны и	1	1
8	от того что она	1	1
9	что как бы ни	1	1
10	и та и другая	1	1
11	общем смысле этого слова	1	1
12	в то время как	1	1
13	не только не есть	1	1
14	или что то же	1	1
15	в том что он	2	1
16	это значит что я	1	1
17	в том смысле что	1	1
18	а в том что	1	1
19	этот звук не есть	1	1
20	в том что это	1	1
21	самом общем смысле этого	1	1
