N	2gram	Losev_Dial_1	FransuaR
1	и в	18	40
2	то есть	1	18
3	и его	1	17
4	прежде всего	10	16
5	в этом	12	15
6	и не	30	13
7	мы уже	1	13
8	в его	3	13
9	не только	13	13
10	вовсе не	7	12
11	что в	13	12
12	как и	2	11
13	но и	7	11
14	как мы	4	10
15	таким образом	1	10
16	в них	3	9
17	и все	3	9
18	он не	3	9
19	может быть	17	9
20	все эти	2	8
21	и с	5	8
22	у него	1	8
23	отношение к	5	8
24	в том	9	8
25	в эпоху	2	8
26	той же	1	8
27	но в	6	8
28	и до	1	8
29	и др	1	7
30	то же	10	7
31	культуры и	1	7
32	в духе	1	7
33	в ту	1	7
34	в виду	5	7
35	он и	2	7
36	в своем	5	7
37	же время	4	6
38	связи с	1	6
39	в своей	2	6
40	во всех	1	6
41	мы еще	1	6
42	в той	1	6
43	в то	6	6
44	в этих	5	6
45	в самом	3	6
46	к этому	2	6
47	и других	1	6
48	в связи	1	5
49	и для	2	5
50	не было	6	5
51	как раз	4	5
52	в нем	16	5
53	для него	2	5
54	со всеми	1	5
55	то что	13	5
56	в основе	3	5
57	в особенности	5	5
58	мы видим	4	5
59	а не	14	5
60	жизни и	3	4
61	видно что	1	4
62	сих пор	2	4
63	даже в	3	4
64	того чтобы	1	4
65	так в	1	4
66	в их	3	4
67	здесь в	2	4
68	в ней	3	4
69	еще более	3	4
70	и даже	13	4
71	до сих	2	4
72	и о	3	4
73	вы не	1	4
74	только на	3	4
75	ни в	15	4
76	один из	3	4
77	и потому	3	4
78	в мире	2	4
79	также и	7	4
80	о том	4	4
81	а также	1	4
82	все это	11	4
83	и вы	3	4
84	было бы	12	4
85	так как	11	4
86	из них	2	4
87	не касается	1	4
88	том что	9	4
89	в данном	3	4
90	они были	2	3
91	в себе	11	3
92	еще не	2	3
93	и наконец	1	3
94	в другом	2	3
95	не может	12	3
96	при этом	1	3
97	всех этих	3	3
98	здесь не	1	3
99	так и	9	3
100	кроме того	1	3
101	связанные с	2	3
102	там где	1	3
103	не так	1	3
104	в конце	4	3
105	дело не	2	3
106	для этого	2	3
107	об этом	4	3
108	жизнь в	1	3
109	а в	5	3
110	мы находим	7	3
111	но все	3	3
112	нуждается в	3	3
113	всего необходимо	2	3
114	в ее	1	3
115	вплоть до	3	3
116	между ними	1	3
117	для понимания	1	3
118	между тем	1	3
119	и к	1	3
120	они не	1	3
121	как в	2	3
122	на самом	3	3
123	другими словами	2	3
124	вместе с	1	3
125	поэтому и	2	3
126	и от	2	3
127	к этой	1	3
128	для того	2	3
129	сказать что	10	3
130	же и	2	3
131	только в	3	3
132	во всем	2	3
133	было ни	1	3
134	в этой	1	3
135	что и	3	3
136	все образы	1	3
137	и смерти	1	3
138	и как	7	3
139	еще в	1	3
140	правда не	1	3
141	в частности	2	3
142	самом деле	3	3
143	и есть	16	3
144	никак не	6	3
145	если бы	12	3
146	как бы	11	3
147	но именно	1	3
148	и следовательно	2	3
149	можно было	5	3
150	но это	8	3
151	в которой	1	2
152	и этот	1	2
153	форму и	2	2
154	все же	5	2
155	сравнению с	2	2
156	и вот	6	2
157	за него	1	2
158	должны быть	1	2
159	можно сказать	6	2
160	но он	1	2
161	ее не	1	2
162	чем он	2	2
163	в состоянии	1	2
164	в разных	3	2
165	больше чем	1	2
166	но конечно	2	2
167	это есть	9	2
168	не к	1	2
169	еще и	3	2
170	думать что	3	2
171	не менее	2	2
172	из этой	1	2
173	он с	1	2
174	точки зрения	17	2
175	него и	1	2
176	к нему	8	2
177	и так	2	2
178	как нечто	1	2
179	хотя бы	6	2
180	по преимуществу	1	2
181	мы не	1	2
182	он также	1	2
183	и другие	1	2
184	по сравнению	2	2
185	и всякие	1	2
186	эпохи и	1	2
187	например в	1	2
188	именно в	2	2
189	есть и	5	2
190	его к	1	2
191	но не	4	2
192	говорит об	1	2
193	или же	1	2
194	здесь мы	1	2
195	и перед	1	2
196	о мире	1	2
197	потому что	14	2
198	в корне	2	2
199	людей которые	1	2
200	здесь дается	1	2
201	и очень	1	2
202	это не	9	2
203	времени и	1	2
204	и той	1	2
205	не были	1	2
206	в дальнейшем	5	2
207	говорят о	2	2
208	на их	1	2
209	из этого	1	2
210	это и	4	2
211	выражение в	1	2
212	но как	2	2
213	и они	1	2
214	нового времени	1	2
215	как он	4	2
216	дело в	1	2
217	с этим	2	2
218	в друга	1	2
219	даны в	1	2
220	уже в	1	2
221	мы увидим	2	2
222	вот я	1	2
223	и еще	3	2
224	друг в	1	2
225	характер и	1	2
226	даже и	3	2
227	века а	1	2
228	в последнем	1	2
229	о чем	2	2
230	что для	3	2
231	из самых	1	2
232	в котором	4	2
233	этом отношении	2	2
234	и если	1	2
235	образ и	4	2
236	как известно	1	2
237	на этом	2	2
238	язык и	1	2
239	далеко не	1	2
240	перехода от	1	2
241	представление о	1	2
242	и сам	1	2
243	и ощутим	1	2
244	с другой	6	2
245	здесь он	1	2
246	общества и	1	2
247	не был	2	2
248	и у	2	2
249	тем же	1	2
250	хотя в	1	2
251	как о	2	2
252	ни от	2	2
253	быть в	2	2
254	одной и	1	2
255	и это	2	2
256	конечно не	3	2
257	или иной	3	2
258	из этих	2	2
259	об их	1	2
260	той или	7	2
261	все что	1	2
262	ко всему	2	2
263	что он	11	2
