N	3gram	Propp_Morf_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	2	5
3	не может быть	9	4
4	с самого начала	1	3
5	тем не менее	4	2
6	друг с другом	1	2
7	во всяком случае	2	2
8	может быть и	2	2
9	в настоящее время	3	2
10	и может быть	1	1
11	мы видим не	1	1
12	и есть то	1	1
13	этого и не	1	1
14	не могут быть	2	1
15	в одном случае	1	1
16	в связи с	8	1
17	все более и	1	1
18	оно может быть	2	1
19	по отношению к	4	1
20	на самом деле	4	1
21	могут быть поняты	1	1
22	он может быть	2	1
23	в целом может	1	1
24	в этом случае	8	1
25	до наших дней	2	1
26	под углом зрения	1	1
27	следующим образом если	1	1
28	до сих пор	1	1
29	и что следовательно	1	1
30	друг на друга	2	1
31	бы то ни	3	1
32	но они не	1	1
33	это значит что	1	1
34	не будем же	1	1
35	более и более	1	1
36	все же в	1	1
37	быть разложена на	1	1
38	но если мы	1	1
39	и в начале	1	1
40	но все же	3	1
41	одна из них	1	1
42	не более как	1	1
43	в том случае	1	1
44	ни одна не	1	1
45	мы видим что	9	1
46	может быть разложена	1	1
47	и не стремится	1	1
48	же в результате	1	1
49	в том что	3	1
50	в данном случае	1	1
51	в обоих случаях	2	1
52	к чему мы	1	1
53	то ни было	2	1
54	с одной стороны	1	1
55	для наших целей	1	1
56	мы этого и	1	1
57	совершенно не приходится	1	1
