N	4gram	Bakhtin_Pr_2	SlovoVZh
1	дело в том что	1	4
2	но тем не менее	1	2
3	позицию по отношению к	1	1
4	друг о друге не	1	1
5	в то время как	1	1
6	мы имеем в виду	2	1
7	развитие этой точки зрения	1	1
8	по отношению к ним	1	1
9	ничего друг о друге	1	1
10	но в то же	3	1
11	те идеологические оценки которые	1	1
12	все зависит от того	1	1
13	и не может быть	1	1
14	и в этом смысле	1	1
15	так же как и	2	1
16	в то же время	3	1
17	о друге не знают	1	1
18	в самом деле в	1	1
19	в этом смысле она	1	1
20	к нему как к	1	1
21	автора по отношению к	2	1
22	от того кто является	1	1
23	то же время не	1	1
24	по отношению к герою	3	1
25	еще раз подчеркнуть что	1	1
