N	3gram	Propp_Russ_2	EvropaiC
1	в том что	18	16
2	а между тем	1	7
3	более или менее	1	7
4	на то что	1	7
5	для того чтобы	6	6
6	в этом случае	6	4
7	может быть и	1	4
8	с другой стороны	1	4
9	не может быть	3	4
10	о том что	4	4
11	тем не менее	2	4
12	не может не	1	3
13	в настоящее время	1	3
14	в том же	1	3
15	так же как	4	3
16	в данном случае	6	3
17	таким образом в	1	3
18	но так как	1	2
19	вместе с тем	4	2
20	каждый из этих	1	2
21	с одной стороны	2	2
22	во всяком случае	1	2
23	во всех этих	1	2
24	как и в	1	2
25	в свою очередь	1	2
26	и в том	1	2
27	его состоит в	2	1
28	из этого круга	1	1
29	и что за	1	1
30	еще далеко не	1	1
31	могут рассматриваться как	1	1
32	этом и состоит	1	1
33	иметь в виду	1	1
34	дело в том	1	1
35	то время как	1	1
36	так что в	1	1
37	более высокой ступени	1	1
38	для этой цели	2	1
39	сущность его состоит	1	1
40	между тем как	1	1
41	а может быть	1	1
42	и другие народы	1	1
43	из того что	1	1
44	это имеет место	1	1
45	правильнее было бы	1	1
46	решить этот вопрос	2	1
47	говорить что в	1	1
48	может быть не	1	1
49	быть потому что	1	1
50	выше мы видели	1	1
51	на первый взгляд	1	1
52	в разные стороны	1	1
53	состоит в том	13	1
54	может быть потому	1	1
55	до некоторой степени	1	1
56	как и вообще	1	1
57	том что они	1	1
58	в этом и	2	1
59	одним из самых	1	1
60	во всем этом	1	1
61	но вместе с	2	1
62	все то что	1	1
63	что при этом	1	1
64	а так как	1	1
65	в тех случаях	1	1
66	и таким образом	1	1
67	то увидим что	1	1
68	в научной литературе	1	1
69	может рассматриваться как	1	1
70	все это без	1	1
71	в то время	2	1
72	не принадлежат к	2	1
73	смысле этого слова	1	1
74	и все это	1	1
75	если присмотреться к	1	1
76	может быть признана	1	1
77	ни одна из	1	1
78	по его мнению	1	1
79	мы указывали на	1	1
80	из этих элементов	1	1
81	мы видели что	4	1
82	тем более что	1	1
83	тех случаях когда	1	1
84	пока еще не	2	1
85	как мы видели	1	1
86	во многих отношениях	1	1
87	мы уже знаем	1	1
88	и это не	1	1
89	только тогда когда	3	1
