N	2gram	Medvedev_F_3	Dialekti
1	не есть	4	47
2	и не	30	30
3	т е	32	30
4	может быть	25	20
5	не только	9	19
6	и в	27	19
7	по себе	4	18
8	и т	11	17
9	а не	17	16
10	в себе	3	15
11	т д	6	15
12	что она	2	14
13	потому что	7	14
14	то что	8	14
15	в том	7	14
16	так как	9	14
17	и даже	2	14
18	как бы	8	14
19	вовсе не	28	13
20	то же	15	12
21	точки зрения	16	12
22	не просто	1	12
23	но и	10	12
24	и все	8	12
25	есть всегда	1	11
26	и как	4	10
27	что это	3	10
28	в нем	15	10
29	ни в	8	10
30	как и	14	10
31	том что	4	10
32	сказать что	3	10
33	так и	21	10
34	это не	3	10
35	никогда не	5	9
36	же и	4	9
37	не может	24	9
38	она есть	3	9
39	мы уже	3	8
40	в этом	18	8
41	в своей	6	8
42	с точки	14	8
43	не в	12	8
44	она не	4	8
45	прежде всего	4	8
46	это значит	2	8
47	и то	1	7
48	есть не	1	7
49	сама по	1	7
50	так что	1	7
51	должно быть	1	7
52	как это	4	7
53	и притом	2	7
54	в поэзии	3	7
55	только тогда	1	7
56	совершенно не	7	7
57	но это	2	7
58	что в	8	7
59	чтобы не	2	6
60	но не	5	6
61	что они	5	6
62	отнюдь не	8	6
63	тогда когда	4	6
64	в то	7	6
65	и вообще	1	6
66	и та	1	6
67	что он	6	6
68	конечно не	4	6
69	не потому	1	6
70	того что	3	6
71	да и	4	6
72	и может	1	6
73	жизни и	4	6
74	и потому	5	5
75	и это	2	5
76	должна быть	3	5
77	говорить о	2	5
78	в одну	1	5
79	жизнь и	3	5
80	же время	7	5
81	и его	19	5
82	и с	3	5
83	в виду	3	5
84	сознания и	2	5
85	о том	4	5
86	и что	3	5
87	можно сказать	3	5
88	что и	2	5
89	с другой	6	5
90	и пр	15	5
91	и следовательно	3	5
92	в смысле	4	5
93	как раз	8	5
94	и времени	1	5
95	в самом	11	5
96	только в	8	5
97	еще не	6	4
98	самом деле	16	4
99	или иное	2	4
100	за пределы	2	4
101	в одной	5	4
102	независимо от	5	4
103	в своем	2	4
104	все же	6	4
105	в каком-то	1	4
106	только то	3	4
107	та же	1	4
108	как он	2	4
109	и если	1	4
110	при этом	8	4
111	он не	1	4
112	и по	1	4
113	одно и	1	4
114	таким образом	18	4
115	а потом	1	4
116	как таковой	3	4
117	не больше	1	4
118	нисколько не	2	4
119	вещи в	1	4
120	в одном	1	4
121	но он	1	4
122	все это	7	4
123	с ним	1	4
124	не нуждается	3	4
125	связи с	5	4
126	в таком	2	4
127	в каком	2	4
128	не могут	10	4
129	той или	1	4
130	в ее	4	4
131	то или	2	4
132	ясно что	3	4
133	говорят что	1	4
134	и только	2	4
135	во времени	1	4
136	без этого	1	4
137	уже в	4	4
138	ни с	2	4
139	одно из	1	4
140	от того	2	4
141	в связи	4	4
142	могут быть	4	4
143	быть и	1	4
144	хотя бы	6	4
145	а в	1	4
146	другой стороны	5	4
147	же как	3	3
148	таком случае	1	3
149	сам по	1	3
150	это и	2	3
151	как мы	8	3
152	этого нет	1	3
153	оно есть	1	3
154	это время	1	3
155	а только	1	3
156	себе и	1	3
157	в этой	2	3
158	с этим	1	3
159	кроме того	1	3
160	от этого	2	3
161	всех этих	2	3
162	не значит	2	3
163	же не	1	3
164	об этом	1	3
165	и почти	1	3
166	его в	7	3
167	было бы	6	3
168	уже знаем	2	3
169	мы имеем	1	3
170	между собою	1	3
171	форма и	1	3
172	и тогда	2	3
173	в этих	3	3
174	или точнее	2	3
175	сами по	2	3
176	и более	3	3
177	что этот	2	3
178	даже в	2	3
179	не менее	7	3
180	ничего не	2	3
181	в разных	1	3
182	символ и	1	3
183	но только	1	3
184	вещи и	1	3
185	это только	2	3
186	уже не	3	3
187	нуждается в	3	3
188	все время	6	3
189	может иметь	2	3
190	тело и	1	3
191	даны в	1	3
192	же мы	1	3
193	из них	2	3
194	ведь это	1	3
195	и из	2	3
196	о котором	1	3
197	и их	5	3
198	не было	1	3
199	о чем	1	3
200	в данном	6	3
201	в той	3	3
202	в это	1	3
203	и от	11	3
204	время не	1	3
205	его с	1	3
206	в целях	2	3
207	е в	1	3
208	становления и	2	3
209	была бы	2	3
210	они не	4	3
211	я и	1	2
212	как известно	1	2
213	также что	1	2
214	человека и	2	2
215	на самом	14	2
216	он может	2	2
217	тем же	7	2
218	его не	1	2
219	что уже	2	2
220	так чтобы	2	2
221	этом условии	1	2
222	бы ни	4	2
223	то это	1	2
224	как не	2	2
225	зависимости от	5	2
226	не кончается	1	2
227	в ней	5	2
228	во всех	3	2
229	явлений и	1	2
230	в общем	2	2
231	очевидно что	2	2
232	ведь мы	2	2
233	к сожалению	1	2
234	в истории	5	2
235	мере в	1	2
236	как в	4	2
237	более и	1	2
238	и нет	1	2
239	уже нельзя	1	2
240	но в	6	2
