N	2gram	Berdyaev_M_1	Poddanst
1	не только	29	17
2	и в	28	14
3	и не	11	12
4	в области	1	11
5	в этом	20	10
6	в отношении	1	10
7	но в	7	9
8	в том	6	9
9	в пределах	1	8
10	хотя бы	3	8
11	только в	6	7
12	в то	2	7
13	в ней	15	6
14	xix века	4	6
15	было бы	10	6
16	но и	25	6
17	быть может	7	6
18	в смысле	1	6
19	отношении к	2	5
20	в которых	4	5
21	может быть	30	5
22	не в	16	5
23	и о	1	5
24	на путях	3	4
25	если бы	2	4
26	россии и	1	4
27	в своем	10	4
28	и к	2	4
29	русская революция	1	4
30	как бы	2	4
31	европейской культуры	1	4
32	но также	1	4
33	том что	3	4
34	не может	28	4
35	и потому	10	4
36	в котором	8	4
37	на пути	4	4
38	в русской	1	4
39	что в	10	4
40	а в	4	4
41	то что	5	4
42	и т	1	3
43	мы не	1	3
44	между тем	1	3
45	это не	5	3
46	и как	2	3
47	в себе	7	3
48	в нем	13	3
49	в россии	2	3
50	для того	2	3
51	заключается в	1	3
52	прежде всего	10	3
53	с тем	9	3
54	что мы	1	3
55	и без	1	3
56	но не	8	3
57	она есть	1	3
58	наряду с	1	3
59	могут быть	2	3
60	т е	2	3
61	потому что	16	3
62	точки зрения	4	3
63	я и	1	3
64	и это	12	2
65	отношения к	4	2
66	в ее	3	2
67	переход от	1	2
68	и есть	14	2
69	в мире	10	2
70	было в	1	2
71	есть не	4	2
72	по сравнению	2	2
73	является в	1	2
74	в глубинах	1	2
75	но к	1	2
76	в значительной	1	2
77	во всех	1	2
78	если в	1	2
79	во всей	1	2
80	с этим	3	2
81	xix век	1	2
82	того что	7	2
83	духа и	4	2
84	к чему	2	2
85	бы ни	1	2
86	в начале	2	2
87	в его	9	2
88	потому в	1	2
89	не к	4	2
90	в силу	1	2
91	и вот	3	2
92	и с	3	2
93	точек зрения	1	2
94	может ли	1	2
95	и мы	2	2
96	мира с	1	2
97	в жизни	3	2
98	для них	3	2
99	в них	4	2
100	не было	18	2
101	а не	25	2
102	в ряду	1	2
103	должно быть	3	2
104	человеческого счастья	1	2
105	нужно было	1	2
106	более чем	1	2
107	суждений о	1	2
108	в европе	1	2
109	не столько	1	2
110	знать что	1	2
111	творчества и	1	2
112	культуры в	1	2
113	и достоевского	2	2
114	не менее	1	2
115	все это	6	2
116	да и	1	2
117	еще более	1	2
118	тем более	1	2
119	для нас	3	2
120	православия и	1	2
121	заключает в	3	2
122	в частности	1	2
123	также что	1	1
124	также и	2	1
125	и через	1	1
126	не очень	1	1
127	связана с	2	1
128	и то	1	1
129	реалистической и	1	1
130	христианского мира	6	1
131	в иных	3	1
132	и этим	1	1
133	культуры и	1	1
134	культурной традиции	1	1
135	есть путь	4	1
136	к жизни	1	1
137	должна быть	6	1
138	стремиться к	1	1
139	был и	1	1
140	его нет	1	1
141	особенно в	3	1
142	по природе	1	1
143	и несут	1	1
144	еще в	2	1
145	в эпоху	1	1
146	находится в	1	1
147	не вполне	1	1
148	оно есть	1	1
149	и ее	1	1
150	жизненного уклада	1	1
151	именно потому	1	1
152	но нужно	1	1
153	может не	2	1
154	с разных	2	1
155	и что	2	1
156	литературы и	2	1
157	еще не	1	1
158	и на	6	1
159	она всегда	1	1
160	он был	14	1
161	с того	2	1
162	вечности и	1	1
163	с его	3	1
164	восходит к	1	1
165	задача –	1	1
166	религиозного мироощущения	1	1
167	не все	2	1
168	борьбе с	1	1
169	что и	4	1
170	историческому и	1	1
171	отличие от	1	1
172	и достоевский	12	1
173	также в	1	1
174	в явлении	1	1
175	в истории	2	1
176	что во	1	1
177	и мир	2	1
178	разных точек	1	1
179	выпадение из	1	1
180	такова же	1	1
181	все же	2	1
182	но некоторое	1	1
183	мира к	1	1
184	мы видим	2	1
185	над собой	1	1
186	бы из	1	1
187	россии не	1	1
188	должен быть	2	1
189	и греческой	1	1
190	нужно обратиться	1	1
191	духа в	3	1
192	в самом	11	1
193	пути но	1	1
194	в которой	6	1
195	вопрос вопрос	1	1
196	бы и	3	1
197	что составляет	1	1
198	и первой	1	1
199	есть для	1	1
200	исповедание веры	1	1
201	в эти	1	1
202	человека с	2	1
203	себя в	3	1
204	переходит в	15	1
205	только один	2	1
206	уже в	4	1
207	во многих	1	1
208	говорить об	1	1
209	если он	5	1
210	в мир	3	1
211	было с	2	1
212	к миру	2	1
213	россии нет	1	1
214	мир в	3	1
215	судьбы но	1	1
216	одно из	3	1
217	есть та	1	1
218	не как	4	1
219	так раскрывается	1	1
220	русской судьбы	2	1
221	к ним	1	1
222	века в	2	1
223	и только	1	1
224	и везде	1	1
225	и по	4	1
226	прежде чем	2	1
227	с собой	3	1
228	момент когда	1	1
229	для философии	3	1
230	от нее	5	1
231	бы это	1	1
232	в каждом	1	1
233	не были	1	1
234	из всех	1	1
235	его в	3	1
236	русской интеллигенции	1	1
237	в душе	1	1
238	связаны с	1	1
239	предполагает признание	1	1
240	живет в	2	1
241	пределах своих	1	1
242	и быть	1	1
243	весь мир	1	1
244	в наш	1	1
245	и недостаточно	1	1
246	и истина	3	1
247	были в	1	1
248	русской истории	1	1
249	что не	1	1
250	в это	1	1
251	в ином	2	1
252	обратиться к	1	1
253	которая и	1	1
254	с богом	1	1
255	древнего востока	1	1
256	кто не	1	1
257	церковь и	2	1
258	в этой	6	1
259	личности не	1	1
260	как и	5	1
261	как ни	1	1
262	в свете	3	1
263	во христе	5	1
264	душа и	1	1
265	и я	5	1
266	ведет к	6	1
267	раскрывается в	5	1
268	нисколько не	1	1
269	и еще	3	1
270	движение и	1	1
271	всемирной истории	2	1
272	которой человечество	1	1
273	явлена в	1	1
274	эти пути	2	1
275	в творчестве	10	1
276	бытия как	1	1
277	ибо поистине	1	1
278	творчестве достоевского	4	1
279	так же	1	1
280	из мира	1	1
281	всяком случае	1	1
282	все основные	1	1
283	прийти к	2	1
284	место в	2	1
285	в отличие	1	1
286	мысли и	2	1
287	вопрос о	2	1
288	сравнению с	1	1
289	он будет	1	1
290	любовь и	1	1
291	к конечному	1	1
292	исключительно на	1	1
293	он живет	2	1
294	и смысла	1	1
295	духовного мира	1	1
296	и эти	1	1
297	как к	1	1
298	и более	1	1
299	и наоборот	1	1
300	и менее	1	1
301	почва под	1	1
302	которая ни	1	1
303	и вся	1	1
304	что есть	5	1
305	устойчивого быта	1	1
306	россия есть	1	1
307	эта мысль	1	1
308	от многих	1	1
309	с которой	2	1
310	она не	4	1
311	к идеям	1	1
312	мире в	1	1
313	есть прежде	1	1
314	и понятен	1	1
315	христа религия	1	1
316	в сферу	1	1
317	склонность к	1	1
318	она вообще	1	1
319	того чтобы	2	1
320	– все	3	1
321	бога не	2	1
322	она может	2	1
323	об отношении	1	1
324	не имеет	3	1
325	никогда не	14	1
326	и злая	1	1
327	казалось бы	1	1
328	находятся в	1	1
329	тот мир	1	1
330	христа и	3	1
331	как явление	1	1
332	среды в	1	1
333	в этих	4	1
334	не одну	1	1
335	человеческую совесть	1	1
336	давно уже	1	1
337	христианства к	1	1
338	над ним	1	1
339	нет ничего	7	1
340	в каком	2	1
341	бытия не	1	1
342	в движении	3	1
343	в философии	1	1
344	отношением к	1	1
345	чем когда-либо	1	1
346	в момент	3	1
347	о духе	1	1
348	в иной	3	1
349	не та	1	1
350	и именно	1	1
351	традиции в	1	1
352	и жизнь	2	1
353	есть и	3	1
354	ни к	1	1
355	мы все	1	1
356	в обличье	1	1
357	к духовному	1	1
358	мира они	1	1
359	пути к	1	1
360	всего что	2	1
361	к этой	2	1
362	пришел в	1	1
363	не есть	9	1
364	вместе с	6	1
365	все еще	1	1
366	гоголь и	1	1
367	русской литературы	5	1
368	во всяком	1	1
369	они не	1	1
370	о мировом	1	1
