N	2gram	Bakhtin_sl_2	Hudozhes
1	в мире	1	23
2	в качестве	1	19
3	то есть	26	18
4	и не	22	16
5	в том	5	15
6	и в	39	15
7	не только	24	15
8	в частности	1	13
9	может быть	37	13
10	и его	33	12
11	при этом	7	12
12	а в	4	12
13	в себе	2	11
14	в этом	16	11
15	но не	6	11
16	отношению к	4	10
17	так и	15	10
18	но и	21	10
19	то же	4	10
20	по отношению	4	10
21	а не	14	10
22	как бы	7	10
23	точки зрения	8	9
24	в его	7	9
25	в рамках	1	8
26	себя в	8	8
27	отличие от	13	7
28	в то	4	7
29	в отличие	12	7
30	с другой	5	7
31	но в	6	7
32	или иной	5	7
33	приводит к	1	6
34	же время	4	6
35	не может	20	6
36	что в	3	6
37	не в	9	6
38	по своей	1	6
39	отношение к	4	6
40	в основе	4	6
41	в состав	3	6
42	с его	7	6
43	том что	5	6
44	с ее	2	5
45	можно сказать	1	5
46	в нем	19	5
47	в их	2	5
48	ни в	4	5
49	того что	1	5
50	то что	2	5
51	героя и	5	5
52	и т.п	2	5
53	уже не	5	5
54	или менее	2	5
55	другой стороны	1	5
56	могут быть	7	5
57	в самом	1	5
58	а также	3	5
59	не предполагает	1	5
60	только в	5	5
61	более или	2	5
62	той или	5	5
63	не знает	2	4
64	в форме	2	4
65	еще не	7	4
66	в другом	2	4
67	входит в	4	4
68	хотя и	2	4
69	говорить о	3	4
70	место в	1	4
71	прежде всего	8	4
72	высказывания в	1	4
73	как это	3	4
74	в своей	1	4
75	а на	1	4
76	например в	5	4
77	для него	7	4
78	отношения к	4	4
79	между тем	3	4
80	сознания в	1	4
81	в этих	7	4
82	сказать что	3	4
83	в слове	6	4
84	не столько	3	4
85	и тем	1	4
86	речи и	3	4
87	без исключения	1	4
88	он не	2	4
89	как к	3	4
90	особого рода	1	4
91	и как	3	4
92	говорит и	2	3
93	одно и	1	3
94	как и	6	3
95	но он	2	3
96	того же	1	3
97	и для	5	3
98	и ее	1	3
99	не менее	4	3
100	таким образом	8	3
101	к нему	3	3
102	произведений искусства	1	3
103	как раз	1	3
104	так в	2	3
105	того или	1	3
106	или иным	1	3
107	его в	4	3
108	в таком	4	3
109	что он	2	3
110	в той	4	3
111	это не	5	3
112	как уже	2	3
113	и к	6	3
114	мог бы	1	3
115	в целом	1	3
116	одного и	1	3
117	к его	2	3
118	лишь в	3	3
119	не на	1	3
120	в отношении	4	3
121	автора и	2	3
122	в единое	2	3
123	тем не	1	3
124	во всей	1	3
125	и что	1	3
126	далеко не	2	3
127	с точки	3	3
128	однако в	2	3
129	или иного	1	3
130	в области	2	3
131	в пределах	13	3
132	в виду	1	3
133	в данном	2	3
134	в свою	3	3
135	все эти	6	2
136	в значительной	6	2
137	но она	2	2
138	рассказ о	1	2
139	материала в	2	2
140	или в	2	2
