N	4gram	Vygotskiy__2	Myshleni
1	заключается в том что	7	6
2	одного и того же	1	4
3	в то время как	2	4
4	так же как и	1	4
5	вместе с тем и	1	4
6	в том виде как	2	2
7	согласны в том что	1	2
8	с этой точки зрения	1	2
9	одной и той же	4	2
10	в силу того что	1	2
11	к тому или иному	1	1
12	бы то ни было	1	1
13	что в основе его	1	1
14	едва ли может быть	1	1
15	что с одной стороны	1	1
16	как раз обратным образом	1	1
17	было бы если бы	1	1
18	указывает на то что	1	1
19	которая не может быть	2	1
20	же как и в	1	1
21	ни в каком случае	1	1
22	представление о том что	2	1
23	не что иное как	1	1
24	и то что мы	1	1
25	том виде как она	1	1
26	заключается в том чтобы	1	1
27	может быть отнесена к	1	1
28	которые не могут быть	1	1
29	в основе его лежит	1	1
30	всегда имеет дело с	1	1
31	пришел к той же	1	1
32	в том что при	1	1
33	приводит к тому что	1	1
34	в том что она	3	1
35	ли может быть отнесена	1	1
36	и в том что	1	1
37	прежде всего тем что	1	1
38	какого бы то ни	1	1
39	в том что в	2	1
40	в связи с этим	1	1
41	есть не что иное	1	1
42	все более и более	2	1
43	все согласны в том	1	1
