N	3gram	Propp_Isto_4	EvropaiE
1	так же как	12	5
2	не только в	2	4
3	же как и	4	3
4	можно сказать что	1	3
5	между прочим и	1	2
6	в северной америке	1	2
7	в данном случае	3	2
8	по сравнению с	3	2
9	так и в	2	2
10	с другой стороны	4	2
11	не может быть	4	2
12	на то что	3	2
13	в большинстве случаев	1	2
14	приводит нас к	4	2
15	как мы видели	3	2
16	что в этом	1	1
17	но так как	1	1
18	ответить на этот	1	1
19	в тех случаях	2	1
20	но и во	1	1
21	и не только	1	1
22	что как бы	1	1
23	быть речи о	1	1
24	но и в	1	1
25	тех случаях когда	2	1
26	может быть речи	1	1
27	мы увидим что	2	1
28	на этот вопрос	2	1
29	и в этих	1	1
30	может быть и	1	1
31	или иначе говоря	1	1
32	чтобы ответить на	1	1
33	смысле этого слова	2	1
34	в некоторых случаях	3	1
35	по большей части	1	1
36	не могут быть	1	1
37	во всех этих	1	1
38	так и с	1	1
39	то время как	1	1
40	в связи с	2	1
41	этот вопрос мы	1	1
42	мы видели что	3	1
43	в других случаях	1	1
44	это мы видим	1	1
45	вовсе не в	1	1
46	мы не можем	1	1
47	в то время	1	1
48	как это мы	1	1
49	и тем самым	1	1
50	не только это	1	1
51	в том числе	1	1
52	к тому что	1	1
53	в исторической перспективе	1	1
54	всех этих случаях	1	1
55	независимо от того	1	1
56	только тогда когда	1	1
57	и т д	24	1
