N	3gram	Vinokur_St_3	RusskieA
1	в том что	11	15
2	и т д	2	9
3	состоит в том	3	8
4	вместе с тем	1	6
5	и в других	1	4
6	в связи с	3	4
7	о том что	4	4
8	к тому что	2	4
9	с точки зрения	4	3
10	а иногда и	1	3
11	тем не менее	2	3
12	в какой степени	1	2
13	но это не	3	2
14	не только у	1	2
15	через каждые две	1	2
16	в свою очередь	1	2
17	но все же	2	2
18	до того как	1	2
19	по этому поводу	2	2
20	том что этот	1	2
21	во многих случаях	1	2
22	еще до того	1	1
23	потому что он	2	1
24	на себя внимание	1	1
25	иметь в виду	1	1
26	на самом деле	1	1
27	так как в	1	1
28	может быть назван	2	1
29	в первые годы	1	1
30	что мы имеем	2	1
31	связанные с этим	1	1
32	можно судить по	1	1
33	с русской историей	1	1
34	в этом отношении	4	1
35	независимо от того	2	1
36	в собственном смысле	1	1
37	и т п	6	1
38	можно было бы	1	1
39	в г д	2	1
40	говорит о том	1	1
41	же т е	1	1
42	обращает на себя	1	1
43	не потому что	1	1
44	в своих целях	1	1
45	не только в	3	1
46	сказывается и в	1	1
47	объясняется тем что	1	1
48	и в этом	2	1
49	во всех этих	2	1
50	он должен был	1	1
51	приводит к тому	1	1
52	кроме того в	1	1
53	во всяком случае	4	1
54	мы имеем здесь	1	1
55	в одно целое	1	1
56	через их посредство	1	1
57	сомнения в том	1	1
58	такая точка зрения	1	1
59	себе дело так	1	1
60	дело так что	1	1
61	не означает что	1	1
62	в то время	4	1
63	то что ему	1	1
64	и здесь следует	1	1
65	к этому времени	1	1
66	об этом мы	1	1
67	в одном из	1	1
68	с тем что	3	1
69	но здесь он	1	1
70	вопрос о том	1	1
71	можно сказать что	1	1
72	на то что	3	1
73	совершенно очевидно что	1	1
74	только тогда когда	2	1
75	которую можно назвать	1	1
76	как мы видели	1	1
77	но этого мало	1	1
78	этого слова в	1	1
