N	4gram	Vygotskiy__1	Freidism
1	в то же время	1	4
2	одной и той же	2	3
3	но тем не менее	1	1
4	последовательно и до конца	1	1
5	это как мы уже	1	1
6	как мы уже знаем	1	1
7	в собственном смысле слова	1	1
8	собственном смысле этого слова	3	1
9	или во всяком случае	1	1
10	т.е в конечном счете	1	1
11	он приходит к выводу	1	1
12	которой мы говорили выше	1	1
13	не остается ничего другого	2	1
14	приходит к выводу что	3	1
15	ответ на этот вопрос	2	1
16	в свою противоположность и	1	1
17	и пр и пр	1	1
18	в том что в	1	1
19	того что мы знаем	1	1
20	или по крайней мере	1	1
21	можно подразделить на две	1	1
22	говорить о том что	1	1
23	о которой мы говорили	1	1
24	что с точки зрения	1	1
25	в свою очередь является	1	1
26	в собственном смысле этого	3	1
27	что в данном случае	1	1
28	так обстояло дело в	1	1
29	остается ничего другого как	2	1
