N	2gram	Tiupa_Anal_2	NovoeSre
1	а не	10	17
2	и в	16	16
3	не может	4	16
4	совсем не	1	12
5	нового времени	1	12
6	и не	12	11
7	что в	2	9
8	в том	12	8
9	он не	2	8
10	в этом	18	7
11	может быть	6	7
12	как и	14	7
13	с его	1	6
14	не в	4	6
15	ни в	1	6
16	никогда не	3	6
17	лишь в	9	6
18	но это	1	6
19	не знает	3	6
20	с ее	2	5
21	и к	5	5
22	не только	16	5
23	в жизни	1	5
24	все это	4	5
25	в нем	1	5
26	со всех	1	4
27	о том	7	4
28	всех сторон	1	4
29	в них	1	4
30	то что	7	4
31	это не	1	4
32	прежде всего	3	4
33	есть лишь	1	4
34	и потому	1	4
35	не менее	4	4
36	и для	2	4
37	не имеет	2	4
38	и все	3	4
39	потому что	1	4
40	с другой	6	3
41	в ее	1	3
42	еще не	2	3
43	во всех	4	3
44	за пределы	4	3
45	как в	4	3
46	к ним	1	3
47	подобно тому	3	3
48	в мире	6	3
49	но и	12	3
50	это было	2	3
51	не есть	2	3
52	не означает	1	3
53	в своей	2	3
54	тому как	3	3
55	она не	2	3
56	жизни не	1	3
57	к ее	1	3
58	к тому	7	3
59	сказать что	2	3
60	роль в	2	2
61	ведь и	2	2
62	можно было	3	2
63	так и	15	2
64	времени и	1	2
65	я не	1	2
66	и что	1	2
67	и на	6	2
68	быть в	1	2
69	времени в	4	2
70	на протяжении	2	2
71	но не	4	2
72	в центре	3	2
73	во вне	1	2
74	ни к	1	2
75	хотя и	4	2
76	но в	6	2
77	который в	1	2
78	все эти	1	2
79	с одной	5	2
80	себя в	2	2
81	с их	2	2
82	есть в	3	2
83	в себе	7	2
84	уже не	4	2
85	не к	1	2
86	нашего времени	4	2
87	у него	4	2
88	что она	2	2
89	и заключается	1	2
90	в одну	2	2
91	что все	2	2
92	и даже	9	2
93	на уровне	9	2
94	и т.п	8	2
95	этом смысле	2	2
96	личность в	2	2
97	зависит от	1	2
98	но я	1	2
99	том что	12	2
100	вместе с	2	2
101	так же	2	2
102	место в	3	2
103	одной стороны	4	2
104	не погиб	1	2
105	такого рода	2	2
106	другой стороны	2	2
107	обращение к	1	2
108	по существу	2	2
109	ни одна	1	2
110	как будто	3	2
111	как это	6	2
112	будет и	1	2
113	такой же	1	2
114	в то	2	2
115	одна из	1	2
116	борьба и	1	2
117	в мировой	1	2
118	хотя бы	1	2
119	все они	1	2
120	а в	3	2
121	могут быть	10	2
122	сама жизнь	1	2
123	производить впечатление	1	1
124	зависимость от	1	1
125	при свете	2	1
126	для себя	1	1
127	над нами	2	1
128	переход от	1	1
129	характер и	1	1
130	перед лицом	2	1
131	этого мира	1	1
132	по преимуществу	4	1
133	приводит к	3	1
134	и до	2	1
135	можно лишь	1	1
136	превыше всего	1	1
137	слова а	1	1
138	культуре и	1	1
139	природе своей	2	1
140	в образе	1	1
141	с собой	1	1
142	мы уже	1	1
143	не с	4	1
144	по природе	2	1
145	еще в	2	1
146	христианской культуры	1	1
147	на место	1	1
148	с ним	2	1
149	нас и	1	1
150	можно сказать	4	1
151	это всегда	1	1
152	говорить о	6	1
153	о самом	1	1
154	на себя	5	1
155	не был	3	1
156	в виду	1	1
157	более высокой	1	1
158	что его	1	1
159	в чем	1	1
160	и мира	1	1
161	это была	1	1
162	и во	2	1
163	на всех	2	1
164	своего рода	12	1
165	в которую	1	1
166	к нему	1	1
167	то он	1	1
168	в его	2	1
169	себе и	1	1
170	отличие от	2	1
171	в значительной	2	1
172	в своем	4	1
173	известном смысле	1	1
174	на человека	1	1
175	человека в	1	1
176	особое место	1	1
177	только в	4	1
178	по своей	1	1
179	вступление в	1	1
180	в самом	6	1
181	он в	4	1
182	о свободе	2	1
183	из этих	1	1
184	в известном	1	1
185	этой системе	2	1
186	же и	1	1
187	для всех	2	1
188	уже в	1	1
189	вопроса о	1	1
190	существования и	1	1
191	свидетельствует о	2	1
192	вообще не	2	1
193	в статье	1	1
194	вера в	1	1
195	что вообще	1	1
196	из них	3	1
197	и их	2	1
198	нуждается в	1	1
199	к одному	1	1
200	слова в	1	1
201	жизнью и	2	1
202	сами по	1	1
203	в конце	4	1
204	но ведь	1	1
205	не случайно	8	1
206	которые могут	1	1
207	тем что	3	1
208	значительной степени	2	1
209	может остаться	1	1
210	таким центром	1	1
211	значение в	1	1
212	не должна	1	1
213	в глубине	1	1
214	них не	2	1
215	необходимой для	1	1
216	и из	1	1
217	на ее	1	1
218	искусство не	1	1
219	нельзя сказать	1	1
220	было бы	3	1
221	лишь на	1	1
222	во внешней	1	1
223	себя и	1	1
224	в отличие	2	1
225	но оно	1	1
226	обратиться к	1	1
227	превращается в	2	1
228	в этой	9	1
229	этого не	1	1
230	отказаться от	1	1
231	долгое время	1	1
232	так после	1	1
233	ближе к	1	1
234	он и	2	1
235	особенно для	1	1
236	себя на	1	1
237	внешней жизни	1	1
238	в эту	3	1
239	в этих	2	1
240	но если	1	1
241	отпавшего от	1	1
242	и особенно	4	1
243	до этого	1	1
244	в такой	1	1
245	зачем же	1	1
246	на это	1	1
247	в котором	2	1
248	только для	1	1
249	одну из	2	1
250	не столько	3	1
251	у нас	1	1
252	переходит от	2	1
253	как другие	1	1
254	в силу	1	1
255	времени не	1	1
256	быть только	1	1
257	мы должны	1	1
258	и более	1	1
259	что этот	1	1
260	в состоянии	2	1
261	во времени	2	1
262	том смысле	1	1
263	по себе	2	1
264	нас к	2	1
265	и вся	1	1
266	будто бы	1	1
267	так как	1	1
268	мира не	1	1
269	должны быть	1	1
270	глубине своей	1	1
271	в сущности	4	1
272	за его	1	1
273	и воля	1	1
274	и имеет	1	1
275	того и	2	1
276	на большей	2	1
277	особого рода	2	1
278	бы он	1	1
279	или нет	1	1
280	к этой	1	1
281	и его	4	1
282	а также	7	1
283	они возникают	1	1
284	вступает в	2	1
285	и героя	1	1
286	в свою	1	1
287	на смену	3	1
288	того же	4	1
289	характерны для	1	1
290	выход из	1	1
291	во все	1	1
292	ли он	1	1
