N	4gram	Losev_Vlad_2	Vvedenie
1	в то же время	3	6
2	не что иное как	1	4
3	и тем не менее	1	3
4	но в то же	1	3
5	дело в том что	3	2
6	так или иначе но	1	2
7	заключается в том что	2	2
8	словаря брокгауза и ефрона	1	1
9	но во всяком случае	1	1
10	до тех пор пока	1	1
11	и в конце концов	1	1
12	тем не менее не	1	1
13	энциклопедического словаря брокгауза и	1	1
14	в собственном смысле слова	1	1
15	в связи с этим	1	1
16	это в свою очередь	1	1
17	то что можно назвать	1	1
18	но вместе с тем	1	1
19	а в том чтобы	1	1
20	приходит к выводу что	1	1
21	отчет в том что	1	1
22	а это в свою	1	1
23	ответа на свои вопросы	1	1
24	также и то что	1	1
25	не говоря уже о	2	1
26	к выводу что и	1	1
