N	3gram	Bakhtin_sl_1	EvropaiC
1	в том что	1	16
2	до сих пор	2	12
3	друг с другом	2	9
4	с точки зрения	8	8
5	а между тем	2	7
6	более или менее	3	7
7	для того чтобы	1	6
8	о котором идет	1	5
9	которых мы говорили	1	4
10	в каждый данный	5	4
11	в этом случае	2	4
12	может быть и	1	4
13	с другой стороны	4	4
14	не может быть	1	4
15	о том что	1	4
16	о которых мы	1	4
17	тем не менее	1	4
18	не может не	5	3
19	каждый данный момент	4	3
20	в данном случае	3	3
21	так или иначе	1	3
22	таким образом в	3	3
23	в том и	2	2
24	бы то ни	1	2
25	то же время	12	2
26	рано или поздно	1	2
27	именно потому что	1	2
28	каждый из этих	1	2
29	то ни было	1	2
30	с одной стороны	4	2
31	во всяком случае	5	2
32	во всех этих	1	2
33	как и в	1	2
34	в свою очередь	2	2
35	мы все же	1	2
36	в то же	12	2
37	и в том	2	2
38	а следовательно и	1	1
39	еще далеко не	1	1
40	между прочим в	1	1
41	только в истории	1	1
42	не только по	1	1
43	и то же	2	1
44	образом в каждый	1	1
45	дело в том	1	1
46	далеко не исчерпывается	1	1
47	на том же	2	1
48	то время как	2	1
49	а затем и	1	1
50	это было бы	1	1
51	мы уже сказали	2	1
52	самого начала в	1	1
53	на своем пути	1	1
54	и не может	2	1
55	в лучшем случае	2	1
56	в зависимости от	3	1
57	в основе их	2	1
58	и в в	1	1
59	точки зрения на	3	1
60	по крайней мере	1	1
61	одно и то	2	1
62	данном случае не	1	1
63	а как бы	1	1
64	может быть не	1	1
65	и с точки	1	1
66	мы не знаем	1	1
67	на задний план	1	1
68	все эти слова	1	1
69	но по существу	2	1
70	в его сознании	1	1
71	к одному из	1	1
72	всяком случае за	1	1
73	что они не	1	1
74	и сам он	1	1
75	потому не может	1	1
76	и ничем не	1	1
77	переход из одного	1	1
78	между всеми этими	1	1
79	и той же	1	1
80	том и в	2	1
81	социальная жизнь и	1	1
82	в широком смысле	2	1
83	но с другой	1	1
84	и некоторые другие	1	1
85	в то время	2	1
86	как бы ни	2	1
87	то есть в	1	1
88	и все это	1	1
89	с самого начала	1	1
90	не только не	1	1
91	той же культуры	1	1
92	в другом случае	2	1
93	к тому что	2	1
94	мы видим что	1	1
95	одной и той	1	1
96	как мы видели	1	1
97	и в другом	2	1
