N	4gram	Bakhtin_Pr_1	KulturaY
1	и тем не менее	1	4
2	в то же время	3	3
3	и т п и	1	2
4	не говоря уже о	1	2
5	не что иное как	1	1
6	иметь в виду что	1	1
7	бы то ни было	2	1
8	том и в другом	1	1
9	есть contradictio in adjecto	1	1
10	хотя бы и в	1	1
11	в том и в	1	1
12	о которых идет речь	1	1
13	не только в поэзии	1	1
14	дело в том что	1	1
15	или в лучшем случае	1	1
16	с первого же взгляда	1	1
17	в то время как	1	1
18	не может и не	2	1
19	в самом широком смысле	1	1
20	и в том и	1	1
21	которых идет речь в	1	1
22	несмотря на то что	1	1
23	можно говорить и о	2	1
24	есть не что иное	1	1
