N	3gram	Nazirov_Tv_1	OGranits
1	по отношению к	1	3
2	что иное как	1	2
3	и наконец в	1	2
4	в данном случае	2	2
5	с одной стороны	1	2
6	с другой стороны	1	2
7	с самого начала	3	2
8	не что иное	1	2
9	в том что	6	2
10	том что в	2	1
11	тем хуже для	1	1
12	гоголь и достоевский	1	1
13	равно как и	1	1
14	на самом деле	2	1
15	то же самое	1	1
16	нам кажется что	1	1
17	дойти до того	1	1
18	в его понимании	1	1
19	русского натурализма гоголь	1	1
20	в отличие от	1	1
21	и не мог	1	1
22	только то что	1	1
23	то что в	1	1
24	эволюция русского натурализма	1	1
25	по себе а	1	1
26	ту или иную	1	1
27	отношений между людьми	1	1
28	натурализма гоголь и	1	1
29	тем не менее	2	1
30	вплоть до его	1	1
31	князь мышкин и	1	1
32	и как бы	1	1
33	и в их	1	1
34	в этот момент	1	1
35	в связи с	1	1
36	может быть понята	1	1
37	чуть ли не	1	1
38	reductio ad absurdum	1	1
39	то же время	12	1
40	и превращается в	1	1
41	в которую не	1	1
42	но в то	4	1
43	в конечном счете	4	1
44	в то же	13	1
45	к тому что	1	1
46	в себя как	1	1
47	человека и его	2	1
48	как и в	1	1
