N	3gram	Kanaev_Sov_1	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	1	6
4	в конечном счете	1	4
5	дело в том	1	3
6	и все же	1	3
7	с самого начала	3	3
8	это как бы	1	3
9	на самом деле	1	2
10	и та же	1	2
11	по крайней мере	1	2
12	в данном случае	1	2
13	и в то	1	2
14	тем не менее	2	2
15	что иное как	1	1
16	не может не	3	1
17	но только не	1	1
18	мы по крайней	1	1
19	равно как и	1	1
20	о жизни и	1	1
21	точно такие же	1	1
22	в настоящее время	2	1
23	к живой жизни	1	1
24	то же самое	2	1
25	по отношению к	1	1
26	до сих пор	1	1
27	сами по себе	1	1
28	в отличие от	2	1
29	друг на друга	1	1
30	все же это	1	1
31	а может быть	1	1
32	не могут быть	1	1
33	бы то ни	1	1
34	заключает в себе	1	1
35	все более и	1	1
36	в этой области	1	1
37	то ни было	1	1
38	с одной стороны	1	1
39	со всеми его	1	1
40	в известном смысле	1	1
41	в связи с	1	1
42	одна и та	1	1
43	при этом с	1	1
44	века с ее	1	1
45	это означало бы	1	1
46	в самом конце	1	1
47	в свою очередь	2	1
48	это значит что	1	1
49	очень важную роль	1	1
50	более и более	1	1
51	что в каждом	1	1
52	как и красота	1	1
53	важную роль в	1	1
54	не что иное	1	1
