N	2gram	Medvedev_B_1	Vvedenie
1	и в	1	32
2	не только	1	22
3	таким образом	1	19
4	и не	2	12
5	в данном	1	11
6	что в	1	10
7	с другой	1	8
8	вопрос о	1	7
9	все же	1	7
10	было бы	1	7
11	можно было	2	7
12	прежде всего	1	7
13	все это	2	6
14	об этом	1	5
15	а не	1	5
16	другой стороны	1	5
17	в своей	1	4
18	по крайней	1	4
19	нельзя не	1	4
20	крайней мере	1	4
21	еще не	1	4
22	и ее	1	4
23	всяком случае	1	4
24	во всяком	1	4
25	не признать	1	3
26	говорить о	1	3
27	не вполне	1	3
28	и на	1	3
29	как будто	1	3
30	в области	1	3
31	в ней	2	3
32	одной из	1	3
33	до конца	1	3
34	должна быть	1	2
35	меньшей мере	1	2
36	не следует	1	2
37	чтобы можно	1	2
38	по меньшей	1	2
39	о них	1	2
40	у нас	3	2
41	этой книги	1	2
42	так и	1	2
43	в значительной	1	2
44	тем более	1	2
45	если таким	1	2
46	не было	1	2
47	между ними	1	2
48	будто бы	1	2
49	также что	1	1
50	на самом	1	1
51	ее задач	2	1
52	установка на	1	1
53	видеть в	2	1
54	кроме того	1	1
55	для которой	1	1
56	остановиться на	1	1
57	что все	1	1
58	стоит на	1	1
59	бы только	1	1
60	моментом в	1	1
61	никак не	1	1
62	вместе взятое	1	1
63	литературы как	1	1
64	исторических условиях	1	1
65	ней только	1	1
66	невозможны без	1	1
67	всего в	1	1
68	в эпоху	1	1
69	и о	1	1
70	то как	1	1
71	ясного и	1	1
72	на которой	1	1
73	не со	1	1
74	неудивительно что	1	1
75	не то	2	1
76	признать его	1	1
77	чем на	1	1
78	и потому	1	1
79	короче говоря	1	1
80	и более	1	1
81	совершенно не	1	1
82	также не	1	1
