N	3gram	Tiupa_Disk_2	FransuaR
1	о том что	3	5
2	то же время	5	5
3	в то же	4	5
4	в другом месте	1	4
5	в самом деле	1	4
6	с одной стороны	4	4
7	все то что	1	4
8	в большинстве случаев	1	4
9	в этом отношении	4	3
10	во втором случае	1	3
11	и т.п но	1	3
12	до нас не	1	3
13	существенную роль в	1	2
14	одной стороны и	2	2
15	с точки зрения	2	2
16	и то что	2	2
17	в предыдущей главе	1	2
18	в данном случае	6	2
19	а также и	1	2
20	жизни и смерти	1	2
21	каждый из них	1	2
22	о том какое	1	2
23	с другой стороны	1	2
24	то есть в	1	2
25	в том что	6	2
26	и прежде всего	2	2
27	и смертью в	1	1
28	и того же	2	1
29	по отношению к	4	1
30	в обоих случаях	2	1
31	в той или	1	1
32	в основе своей	2	1
33	другой стороны в	1	1
34	и строго отграниченная	1	1
35	том что в	1	1
36	дело в том	2	1
37	в себе самом	1	1
38	что же касается	2	1
39	и там где	1	1
40	именно в этом	1	1
41	между тем как	1	1
42	особое отношение к	1	1
43	еще в одном	2	1
44	до известной степени	1	1
45	верха и низа	1	1
46	только то что	1	1
47	между вещами и	1	1
48	не может так	1	1
49	и как бы	2	1
50	а не как	1	1
51	не может быть	3	1
52	лишь в одном	1	1
53	не совпадает с	1	1
54	в значительной степени	1	1
55	та или иная	1	1
56	во внешнем мире	1	1
57	в одном из	1	1
58	той или иной	3	1
59	можно сказать что	1	1
60	между жизнью и	2	1
61	одного и того	2	1
62	или иной мере	1	1
63	а с другой	1	1
64	жизнью и смертью	2	1
