N	2gram	Bakhtin_Fr_4	EvropaiE
1	и в	29	37
2	в отношении	1	32
3	точки зрения	4	23
4	что в	1	21
5	не только	10	18
6	с точки	2	17
7	в то	10	16
8	то же	10	15
9	в своем	3	14
10	но в	12	14
11	же время	8	14
12	в качестве	3	14
13	но и	9	14
14	и не	16	14
15	в этом	11	12
16	в их	2	11
17	в том	7	11
18	так и	11	10
19	в себе	3	9
20	только в	2	9
21	прежде всего	8	9
22	не может	2	9
23	так же	7	9
24	в ее	3	8
25	думать что	1	8
26	в своей	5	8
27	к тому	2	8
28	с одной	2	8
29	одной стороны	2	8
30	также и	4	7
31	а также	2	7
32	того что	3	7
33	так как	7	7
34	с другой	4	7
35	как и	12	7
36	по своему	4	7
37	между прочим	2	7
38	может быть	2	6
39	и на	11	6
40	стороны и	1	6
41	на то	1	6
42	то есть	21	6
43	том что	3	6
44	того чтобы	3	6
45	вовсе не	9	6
46	для того	3	6
47	и даже	3	6
48	как бы	8	6
49	с этой	1	6
50	то что	4	6
51	же как	1	5
52	но не	2	5
53	в россии	1	5
54	и по	5	5
55	как мы	10	5
56	одной из	2	5
57	в виде	1	5
58	со стороны	2	5
59	в частности	3	5
60	и потому	1	5
61	в той	2	5
62	то в	3	4
63	мы не	1	4
64	в полной	1	4
65	но даже	1	4
66	в ней	3	4
67	независимо от	1	4
68	в самом	1	4
69	из числа	1	4
70	даже в	1	4
71	можно сказать	1	4
72	именно в	2	4
73	не на	2	4
74	мира в	1	4
75	для нас	1	4
76	сказать что	5	4
77	культуры в	1	4
78	бы и	1	3
79	и со	2	3
80	того же	5	3
81	в общем	1	3
82	как в	2	3
83	и к	2	3
84	мы можем	3	3
85	не будет	1	3
86	не дает	1	3
87	большинстве случаев	5	3
88	и мы	2	3
89	в них	7	3
90	мы видели	7	3
91	во второй	2	3
92	можно ли	1	3
93	дело в	2	3
94	никогда не	2	3
95	потому что	1	3
96	уже и	2	3
97	можно было	1	3
98	о том	2	3
99	как было	1	3
100	от них	1	3
101	место в	2	3
102	что и	1	3
103	отметить что	3	3
104	из них	6	3
105	в известной	3	3
106	тем что	4	3
107	этом отношении	1	3
108	в свою	1	3
109	говорит о	1	3
110	там где	3	3
111	в данном	1	3
112	известной степени	1	3
113	и для	2	3
114	и от	1	3
115	в результате	4	3
116	мира и	4	3
117	не более	1	3
118	жизни в	2	3
119	как на	2	3
120	в таком	1	3
121	и то	2	2
122	по преимуществу	3	2
123	что эти	1	2
124	должна быть	1	2
125	и этот	1	2
126	которое в	1	2
127	на них	2	2
128	он сам	1	2
129	а тем	1	2
130	но как	3	2
131	как их	1	2
132	его на	1	2
133	с этим	1	2
134	хотя и	2	2
135	целый ряд	1	2
136	и как	3	2
137	что это	5	2
138	в этой	13	2
139	всего к	1	2
140	xviii и	1	2
141	этот процесс	6	2
142	и если	1	2
143	главным образом	1	2
144	он не	3	2
145	прочим и	1	2
146	в силу	1	2
147	таким образом	20	2
148	в мире	1	2
149	и с	9	2
150	к природе	1	2
151	своему характеру	1	2
152	далеко не	5	2
153	в своих	2	2
154	такой же	3	2
155	и того	1	2
156	в эту	3	2
157	в этих	2	2
158	или точнее	1	2
159	в котором	2	2
160	можем сказать	1	2
161	ними и	1	2
162	на язык	1	2
163	по своей	3	2
164	участию в	1	2
165	как будто	2	2
166	что на	1	2
167	утверждать что	1	2
168	свою очередь	1	2
169	данном случае	1	2
170	на месте	1	2
171	если бы	1	2
172	и та	1	2
173	и что	1	2
174	притом в	1	2
175	и во	1	2
176	к нему	3	2
177	ее от	1	2
178	в его	8	2
179	также в	2	2
180	и существенно	1	2
181	эти последние	1	2
182	но с	1	2
183	начало в	1	2
184	есть в	2	2
185	в большинстве	6	2
186	если в	2	2
187	при помощи	1	2
188	и других	3	2
189	в одном	1	2
190	в других	2	2
191	в год	1	2
192	в некоторых	1	2
193	на этот	1	2
194	и тут	1	2
195	что все	1	2
196	и xix	1	2
197	ко всему	1	2
198	мира но	1	2
199	более поздние	1	2
200	происходит в	1	2
201	или в	2	2
202	и все	13	2
203	еще более	1	2
204	стороны в	2	2
205	и наконец	2	2
206	в другой	2	2
207	мы видим	3	2
208	даже при	1	2
209	между ними	2	2
210	другой стороны	3	2
211	жизни и	4	2
212	и эта	2	2
213	себя как	1	1
214	как известно	2	1
215	ту же	1	1
216	связана с	4	1
217	мы здесь	2	1
218	в тех	1	1
219	некоторые из	3	1
220	и это	2	1
221	же по	1	1
222	традиции как	2	1
223	перед лицом	2	1
224	в чисто	1	1
225	и до	5	1
226	с таким	2	1
227	той же	3	1
228	он считает	1	1
229	чтобы превратить	1	1
230	большую роль	2	1
231	признание что	1	1
232	почти все	3	1
233	время как	1	1
234	говорить о	1	1
235	которые при	1	1
236	которое не	2	1
237	в каждой	1	1
238	с его	4	1
239	что люди	1	1
240	и всего	1	1
241	видели что	1	1
242	обстояло дело	1	1
243	значением и	1	1
244	в новом	2	1
245	и земли	2	1
246	отличие от	1	1
247	за пределы	1	1
248	к сожалению	1	1
249	относится к	1	1
250	как по	1	1
251	в одной	2	1
252	дает нам	2	1
253	мира который	1	1
254	все остальные	3	1
255	все же	3	1
256	кроме того	2	1
257	смысле этого	1	1
258	что по	1	1
259	его к	2	1
260	этого мира	1	1
261	более или	3	1
262	в этот	1	1
263	и детей	2	1
264	ими с	1	1
265	он в	1	1
266	смыслах и	1	1
267	в нашем	4	1
268	которые в	1	1
269	с их	1	1
270	один и	2	1
271	нами в	1	1
272	и тот	2	1
273	но его	1	1
274	тому же	1	1
275	реальное значение	1	1
276	к участию	1	1
277	жизнью и	1	1
278	на его	2	1
279	при этом	3	1
280	в переводе	1	1
281	не значит	1	1
282	эта последняя	1	1
283	не как	1	1
284	на земле	1	1
285	сфера в	1	1
286	они разделят	1	1
287	на этом	2	1
288	это один	2	1
289	или иных	1	1
290	но все	1	1
291	как они	1	1
292	а затем	3	1
293	в нем	5	1
294	они должны	1	1
295	значение в	1	1
296	том случае	1	1
297	в соответствующие	1	1
298	полной мере	1	1
299	входит в	1	1
300	воспринимается как	1	1
301	сейчас в	1	1
302	мы сказали	2	1
303	весь мир	5	1
304	в жизни	2	1
305	о характере	1	1
306	рядом с	5	1
307	соответствии с	2	1
308	значение как	1	1
309	и всей	1	1
310	или менее	3	1
311	то эту	1	1
312	то его	1	1
313	дальнейшее развитие	1	1
314	в отличие	1	1
315	на такие	1	1
316	значение для	1	1
317	знаменует собой	1	1
318	простое и	1	1
319	было связано	1	1
320	друг другу	1	1
321	том же	2	1
322	все эти	9	1
323	вплоть до	1	1
324	но они	4	1
325	что эта	1	1
326	в обоих	1	1
327	принадлежат к	2	1
328	правда в	1	1
329	здесь на	1	1
330	он мог	1	1
331	земли в	1	1
332	казалось бы	1	1
333	в разных	3	1
334	только и	1	1
335	действительности но	1	1
336	в самой	1	1
337	именно с	1	1
338	во всем	1	1
339	и его	8	1
340	связи с	2	1
341	полное свое	1	1
342	в основе	2	1
343	у нас	1	1
344	будущее в	1	1
345	мир в	2	1
346	числе и	2	1
347	именно таким	1	1
348	играть в	1	1
349	где этот	1	1
350	своего развития	1	1
351	и о	5	1
352	эти не	1	1
353	изменений в	1	1
354	существенное значение	1	1
355	и сами	1	1
356	людей в	1	1
