N	2gram	Voloshinov_2	RusskieA
1	и в	19	29
2	том что	10	22
3	в том	7	22
4	что в	2	22
5	как бы	19	18
6	в других	1	15
7	и другие	1	14
8	так как	3	13
9	может быть	28	13
10	во время	1	12
11	в этом	15	11
12	как и	9	11
13	одна из	7	11
14	в этот	1	10
15	не только	13	10
16	и с	2	10
17	все это	1	10
18	а на	1	9
19	о том	3	9
20	в некоторых	1	9
21	на части	1	9
22	а в	3	9
23	его в	7	8
24	или на	1	8
25	но и	10	8
26	ее в	1	8
27	как в	1	7
28	мы видели	4	7
29	или в	2	7
30	мы не	2	6
31	еще не	3	6
32	и на	5	6
33	при этом	9	6
34	таким образом	14	6
35	того чтобы	6	6
36	на нее	1	6
37	для того	6	6
38	с тем	1	6
39	вместе с	2	6
40	в данном	5	6
41	этом случае	1	6
42	же в	1	6
43	но не	2	5
44	следующим образом	1	5
45	но в	7	5
46	это не	4	5
47	не может	18	5
48	потому что	1	5
49	и что	1	5
50	или же	2	5
51	к жизни	1	5
52	то что	4	5
53	к этому	5	5
54	то же	16	4
55	вопрос о	2	4
56	видели что	1	4
57	не все	1	4
58	уже не	1	4
59	в них	1	4
60	далеко не	2	4
61	не в	10	4
62	тогда когда	1	4
63	у нас	3	4
64	к нему	5	4
65	так что	1	4
66	в виде	2	4
67	из них	1	4
68	именно в	2	4
69	а не	9	4
70	о чем	2	4
71	так же	5	4
72	как это	1	4
73	этих случаях	1	4
74	и все	6	4
75	в таком	7	4
76	и о	2	3
77	в ее	3	3
78	только тогда	1	3
79	что это	2	3
80	все эти	3	3
81	в этой	3	3
82	что она	1	3
83	главным образом	1	3
84	по всем	1	3
85	и других	1	3
86	с другими	3	3
87	в этих	3	3
88	в котором	3	3
89	в отличие	3	3
90	выше мы	1	3
91	но он	1	3
92	не имеет	3	3
93	и другой	1	3
94	как мы	15	3
95	должно было	1	3
96	во всех	6	3
97	а именно	1	3
98	того что	4	3
99	что здесь	1	3
100	между тем	6	3
101	в качестве	3	3
102	связь с	4	3
103	или даже	1	3
104	друг друга	2	3
105	отличие от	3	3
106	связаны с	1	3
107	тем что	2	3
108	а наоборот	1	3
109	до конца	2	3
110	или с	1	3
111	и от	3	3
112	было бы	4	3
113	также что	1	2
114	одним из	2	2
115	мы здесь	2	2
116	и то	3	2
117	на самом	7	2
118	это и	1	2
119	но она	1	2
120	что иное	1	2
121	на себя	1	2
122	очень распространен	1	2
123	не совсем	1	2
124	которое в	1	2
125	между собой	1	2
126	иное как	2	2
127	там и	1	2
128	с одной	3	2
129	иногда и	3	2
130	а через	1	2
131	эта связь	1	2
132	с этим	3	2
133	все же	5	2
134	и как	6	2
135	не было	3	2
136	в которой	1	2
137	под ним	1	2
138	из этих	1	2
139	как оно	1	2
140	не к	3	2
141	здесь мы	3	2
142	связанные с	1	2
143	из нее	1	2
144	должно быть	3	2
145	так в	1	2
146	в своей	3	2
147	нас не	2	2
148	в их	5	2
149	не столько	1	2
150	силу и	1	2
151	тем не	1	2
152	не менее	1	2
153	а иногда	3	2
154	что с	1	2
155	в то	8	2
156	никогда не	7	2
157	где-нибудь в	1	2
158	связи с	13	2
159	кроме того	1	2
160	все то	2	2
161	когда мы	1	2
162	о происхождении	2	2
163	говорит о	1	2
164	должен быть	2	2
165	не с	2	2
166	еще в	1	2
167	образом в	1	2
168	влияние на	4	2
169	с другой	3	2
170	у них	1	2
171	ее от	2	2
172	что и	3	2
173	в форме	5	2
174	в него	1	2
175	в самый	2	2
176	он есть	1	2
177	совсем не	1	2
178	в разные	1	2
179	и ее	4	2
180	есть в	1	2
181	на эту	1	2
182	одно из	1	2
183	связано с	3	2
184	же деле	3	2
185	здесь в	2	2
186	а с	2	2
187	прежде всего	7	2
188	и пр	25	2
189	самом же	3	2
190	одной стороны	3	2
191	из наиболее	1	2
192	там где	2	2
193	но можно	1	2
194	совершенно не	5	2
195	в воскресенье	1	2
196	в течение	1	2
197	могут быть	3	2
198	этом и	1	2
199	говорить что	1	2
200	и для	7	2
201	жизни в	1	2
202	не что	1	2
203	из этого	1	2
204	выражено в	1	1
205	человека и	1	1
206	что тема	1	1
207	можно говорить	1	1
208	и до	3	1
209	что эти	1	1
210	сливается с	1	1
211	мы уже	6	1
212	например в	1	1
213	не была	1	1
214	совпадает с	1	1
215	говорить о	1	1
216	из того	1	1
217	мы и	1	1
218	то это	1	1
219	в ней	3	1
220	форм есть	1	1
221	на нем	1	1
222	относится и	1	1
223	что его	1	1
224	в различных	3	1
225	которое он	1	1
226	землю и	1	1
227	же на	1	1
228	если в	1	1
229	к слову	1	1
230	ответ на	2	1
231	иные формы	1	1
232	что они	2	1
233	относится к	3	1
234	отнюдь не	8	1
235	же хотя	1	1
236	независимо от	2	1
237	что именно	1	1
238	так называемая	1	1
239	сможет быть	1	1
240	стороны и	2	1
241	и представляют	1	1
242	в своем	2	1
243	в различные	1	1
244	все остальные	1	1
245	в противном	2	1
246	перед нами	3	1
247	и где	1	1
248	совершается на	1	1
249	хотя и	1	1
250	когда он	1	1
251	в круг	1	1
252	и наконец	1	1
253	не являются	1	1
254	более или	2	1
255	увидим что	1	1
256	ясно и	1	1
257	от этого	2	1
258	в самом	6	1
259	в зачаточном	1	1
260	уже в	2	1
261	выражение в	5	1
262	ни одна	1	1
263	тому же	2	1
264	ее как	1	1
265	как он	1	1
266	на то	4	1
267	не могла	1	1
268	и если	1	1
269	вообще не	1	1
270	чем сильнее	1	1
271	к выводу	1	1
272	не следует	2	1
273	в нем	11	1
274	в статье	1	1
275	так сказать	14	1
276	видел в	1	1
277	всех этих	1	1
278	в первую	1	1
279	только в	8	1
280	в нее	1	1
281	но все	1	1
282	что все	1	1
283	значение в	4	1
284	в другом	3	1
285	в каком-нибудь	1	1
286	связанных с	1	1
287	на все	2	1
288	этих форм	2	1
289	а как	4	1
290	входит в	1	1
291	того или	2	1
292	от одного	3	1
293	древности и	1	1
294	уже знаем	2	1
295	еще одно	1	1
296	только одно	1	1
297	нет в	1	1
298	о которой	1	1
299	на основании	1	1
300	и значения	3	1
301	двух направлениях	2	1
302	другая форма	1	1
303	и целые	1	1
304	остается в	1	1
305	или менее	2	1
306	нужно чтобы	1	1
307	или точнее	1	1
308	этой связи	4	1
309	уже к	1	1
310	бы к	1	1
311	место в	2	1
312	мир и	1	1
313	только для	1	1
314	свет на	2	1
315	но они	2	1
316	как от	2	1
317	отсюда возникает	1	1
318	из одного	4	1
319	указывали что	1	1
320	оно могло	1	1
321	при всех	1	1
322	выходят из	1	1
323	что эта	1	1
324	можно понимать	1	1
325	как о	2	1
326	в русской	1	1
327	эти формы	1	1
328	дело в	1	1
329	и притом	1	1
330	в основе	9	1
331	с и	1	1
332	это еще	1	1
333	следовательно и	2	1
334	в коем	2	1
335	ничего не	4	1
336	с одним	1	1
337	и им	1	1
338	такая же	1	1
339	представление об	1	1
340	и его	16	1
341	так например	1	1
342	которое не	1	1
343	этом отношении	1	1
344	не является	8	1
345	и здесь	5	1
346	в духе	1	1
347	на того	1	1
348	и такие	1	1
349	и другим	1	1
350	и за	1	1
351	для его	3	1
352	например по	1	1
353	оно не	1	1
354	время они	1	1
355	и это	3	1
356	из всего	2	1
357	себе в	1	1
358	в рудиментарной	1	1
359	не будет	3	1
360	свою очередь	5	1
361	всем этим	2	1
362	здесь не	1	1
363	на основе	3	1
364	в особенности	2	1
365	как знак	1	1
366	в пределах	10	1
367	приводит к	2	1
368	и когда	1	1
369	увидим не	1	1
370	пытается объяснить	1	1
371	так и	10	1
372	здесь нет	1	1
373	связи которые	1	1
374	оно все	1	1
375	можно только	1	1
376	он был	2	1
377	если бы	11	1
378	и вообще	1	1
379	с ним	1	1
380	но может	1	1
381	находится в	1	1
382	сводится к	2	1
383	другом месте	1	1
384	на этой	5	1
385	и поэтому	1	1
386	можно сказать	1	1
387	в его	5	1
388	во всей	1	1
389	рудиментарной форме	1	1
390	о единстве	1	1
391	в середине	1	1
392	все время	2	1
393	выбор и	1	1
394	в другую	1	1
395	и мир	1	1
396	это приводит	1	1
397	оставляют в	1	1
398	уходит в	1	1
399	быть и	6	1
400	с той	1	1
401	на которой	1	1
402	но с	1	1
403	тот же	1	1
404	в основном	4	1
405	с ними	4	1
406	что он	4	1
407	мы увидим	2	1
408	в какой	3	1
409	и является	2	1
410	и действительно	1	1
411	и так	1	1
412	то эти	1	1
413	они могут	2	1
414	их не	1	1
415	вошло в	1	1
416	же и	1	1
417	вопроса о	1	1
418	в большинстве	5	1
419	только на	4	1
420	значение и	2	1
421	здесь это	1	1
422	так называемый	1	1
423	в данной	4	1
424	в борьбу	1	1
425	превращаются в	1	1
426	был бы	1	1
427	не так	2	1
428	для него	9	1
429	всяком случае	2	1
430	могло бы	1	1
431	в одном	1	1
432	и должна	1	1
433	в состоянии	1	1
434	себя от	1	1
435	ее не	1	1
436	к ним	1	1
437	случае не	1	1
438	как раз	4	1
439	рядом с	2	1
