N	4gram	Tiupa_Teor_1	Problema
1	позицию по отношению к	1	3
2	в то же время	5	3
3	в коем случае не	2	2
4	бы то ни было	1	2
5	ни в коем случае	2	2
6	и в то же	1	2
7	как совокупность факторов художественного	1	1
8	дело в том что	1	1
9	по отношению к чему	1	1
10	мы имеем дело с	1	1
11	деятельности созерцания направленной на	1	1
12	содержание эстетической деятельности созерцания	1	1
13	вполне осуществляет себя только	1	1
14	себя только в искусстве	1	1
15	осуществляет себя только в	1	1
16	не что иное как	1	1
17	как бы вбирает в	1	1
18	созерцания направленной на произведение	1	1
19	но в то же	1	1
20	иметь в виду что	1	1
21	эстетическое вполне осуществляет себя	1	1
22	совокупность факторов художественного впечатления	1	1
23	эстетической деятельности созерцания направленной	1	1
24	ни к чему не	1	1
25	есть не что иное	1	1
26	бы они ни были	1	1
27	бы вбирает в себя	1	1
28	чего бы то ни	1	1
