N	3gram	Propp_Isto_3	Problemy
1	с точки зрения	1	9
2	до сих пор	5	8
3	не может быть	1	8
4	в большинстве случаев	1	8
5	по отношению к	2	5
6	друг с другом	1	5
7	в том числе	1	4
8	как мы увидим	1	3
9	с другой стороны	7	3
10	мы имеем в	2	3
11	как и в	2	3
12	хотя и не	1	2
13	из этих трех	1	2
14	и в других	2	2
15	сами по себе	1	2
16	но и в	1	2
17	можно было бы	1	2
18	это вовсе не	1	2
19	на этот вопрос	1	2
20	в том что	5	2
21	как если бы	1	2
22	о том что	2	2
23	сих пор не	1	2
24	можно сказать что	1	2
25	в одном из	2	2
26	в этих случаях	7	2
27	но прежде всего	1	1
28	иначе обстоит дело	1	1
29	все эти вопросы	1	1
30	и к нему	1	1
31	у него как	1	1
32	и даже не	1	1
33	также и в	1	1
34	в этом случае	5	1
35	и функций в	1	1
36	вступают в брак	1	1
37	мы не будем	1	1
38	и так или	1	1
39	так как мы	1	1
40	здесь можно только	2	1
41	на самом же	1	1
42	и все что	1	1
43	даже показаться что	1	1
44	может даже показаться	1	1
45	увидим дальше что	1	1
46	вследствие чего она	1	1
47	можно наблюдать что	1	1
48	может быть и	1	1
49	на ту же	1	1
50	правда в несколько	1	1
51	мы увидим дальше	1	1
52	так же как	1	1
53	в данном случае	3	1
54	они еще не	1	1
55	к своему собственному	1	1
56	с одной стороны	2	1
57	так или иначе	1	1
58	все же не	1	1
59	в связи с	3	1
60	к тому же	2	1
61	во всяком случае	2	1
62	перед тем как	1	1
63	может быть разрешен	1	1
64	таким образом и	2	1
65	самом же деле	1	1
66	здесь не только	1	1
67	но они не	1	1
68	и вместе с	1	1
69	берет на себя	1	1
70	существенно отличается от	1	1
71	другой стороны и	3	1
72	с самого начала	1	1
73	что в нем	1	1
74	не только в	1	1
75	но в этом	1	1
76	мы находим и	1	1
77	но все же	2	1
78	даже в самых	1	1
79	той роли которую	1	1
80	друг от друга	1	1
81	после того как	1	1
82	что он ничего	1	1
83	нет мы увидим	1	1
84	со своей противоположностью	1	1
85	друг друга и	1	1
86	дело конечно не	1	1
87	в жизни и	1	1
88	мы будем рассматривать	1	1
89	в своей жизни	1	1
