N	2gram	Nazirov_Vr_1	Narrotol
1	не только	9	26
2	тогда как	2	15
3	но и	7	15
4	при этом	4	14
5	в том	3	14
6	в качестве	1	14
7	и не	5	14
8	в этом	8	13
9	и в	8	13
10	том что	3	13
11	в частности	1	11
12	может быть	4	10
13	у чехова	1	9
14	своего рода	1	9
15	так и	1	9
16	а в	2	9
17	в себе	2	8
18	то что	7	8
19	не может	2	8
20	к себе	2	7
21	у него	5	6
22	в своем	3	6
23	все же	6	6
24	но в	6	6
25	в жизни	1	6
26	никогда не	2	6
27	ничего не	1	6
28	и т.п	2	6
29	а также	2	6
30	в его	3	6
31	вслед за	1	6
32	того что	1	6
33	прежде всего	1	6
34	как бы	4	6
35	героя в	1	6
36	я не	3	5
37	ответ на	2	5
38	что он	4	5
39	как в	1	5
40	хотя и	1	5
41	в нем	6	5
42	тем не	1	5
43	он не	3	5
44	таким образом	2	5
45	далеко не	3	5
46	точки зрения	2	5
47	в котором	6	5
48	место в	2	5
49	тем самым	1	5
50	в то	5	5
51	о том	4	5
52	в форме	1	5
53	с другой	1	5
54	в той	2	5
55	то же	5	4
56	в ее	1	4
57	в этой	2	4
58	отнюдь не	2	4
59	встрече с	1	4
60	что это	1	4
61	тому же	1	4
62	в силу	1	4
63	уже не	2	4
64	в мире	2	4
65	об этом	5	4
66	в глазах	2	4
67	и уже	3	4
68	в своей	2	4
69	в конце	3	4
70	не менее	2	4
71	но при	1	4
72	и т.д	1	4
73	уже говорилось	1	4
74	для него	2	4
75	обо мне	1	4
76	в рассказе	1	4
77	как и	6	4
78	в литературе	1	4
79	и все	7	4
80	с ним	4	4
81	же в	2	4
82	и у	3	4
83	жизни и	1	4
84	что в	7	4
85	все что	1	4
86	говорилось выше	1	3
87	едва ли	1	3
88	с его	3	3
89	как правило	1	3
90	но не	1	3
91	что они	1	3
92	как к	1	3
93	в целом	1	3
94	в ответ	1	3
95	в известном	2	3
96	и его	3	3
97	от которого	1	3
98	самим собой	1	3
99	в итоге	1	3
100	соответствии с	1	3
