N	3gram	Voloshinov_1	DiskursI
1	в данном случае	2	6
2	в том что	4	6
3	то же время	1	5
4	как и в	1	5
5	по отношению к	11	4
6	в этом отношении	1	4
7	в то же	1	4
8	с одной стороны	2	4
9	не может быть	7	3
10	о том что	1	3
11	одной стороны и	2	2
12	подобно тому как	1	2
13	с точки зрения	2	2
14	и не может	3	2
15	в основе своей	1	2
16	одно и то	2	2
17	и то же	2	2
18	дело в том	4	2
19	и прежде всего	1	2
20	в русской литературе	1	2
21	но прежде всего	1	1
22	том что в	1	1
23	в чем не	1	1
24	в процессе творческого	1	1
25	мы имеем дело	1	1
26	и соответствующей ему	1	1
27	в самом деле	1	1
28	не должно быть	1	1
29	с другой стороны	2	1
30	до известной степени	2	1
31	бы то ни	3	1
32	только то что	1	1
33	но для этого	1	1
34	по аналогии с	1	1
35	случае мы имеем	1	1
36	отнюдь не является	1	1
37	в своем значении	1	1
38	и в частности	1	1
39	в значительной степени	1	1
40	в такой же	2	1
41	не совпадает с	1	1
42	то ни было	3	1
43	на передний план	1	1
44	во всяком случае	1	1
45	ни в чем	1	1
46	между тем как	1	1
47	равно как и	1	1
48	при этом слово	1	1
49	с самого начала	1	1
50	в конечном счете	1	1
51	включает в себя	1	1
52	можно сказать что	5	1
53	тем не менее	3	1
54	место в творчестве	1	1
55	героя никогда не	1	1
56	по крайней мере	1	1
