N	3gram	Bakhtin_sl_1	Analitik
1	не может быть	1	16
2	в том что	1	9
3	в то же	12	8
4	в отличие от	1	6
5	то же время	12	6
6	той или иной	9	6
7	большей или меньшей	4	4
8	с точки зрения	8	4
9	и не может	2	4
10	и не в	1	4
11	о том что	1	3
12	в той или	9	3
13	того или иного	2	3
14	бы то ни	1	3
15	и т п	23	3
16	для того чтобы	1	3
17	то ни было	1	3
18	с одной стороны	4	3
19	в том и	2	2
20	но и в	1	2
21	в этом отношении	1	2
22	в данном случае	3	2
23	в первом случае	2	2
24	но в то	4	2
25	не могут быть	2	2
26	с другой стороны	4	2
27	в свое время	1	2
28	в широком смысле	2	2
29	тех или иных	1	2
30	в последние десятилетия	1	1
31	и в сущности	2	1
32	в виду не	1	1
33	исключают друг друга	1	1
34	а вовсе не	2	1
35	бы ни был	1	1
36	и той же	1	1
37	как бы не	1	1
38	более или менее	3	1
39	равно как и	1	1
40	имеем в виду	1	1
41	он может быть	1	1
42	выходит за пределы	3	1
43	же время он	1	1
44	оно ни было	1	1
45	а не к	1	1
46	то есть без	1	1
47	до сих пор	2	1
48	да и в	1	1
49	в зависимости от	3	1
50	своего предмета и	2	1
51	может иметь место	1	1
52	лишь одним из	1	1
53	с ним в	1	1
54	на самом же	1	1
55	таким образом с	1	1
56	нет ничего что	1	1
57	в противном случае	1	1
58	с этой точки	1	1
59	по крайней мере	1	1
60	то или иное	1	1
61	одно и то	2	1
62	и в частности	1	1
63	в новом свете	1	1
64	то есть его	1	1
65	дело не с	2	1
66	не только в	2	1
67	и не могут	1	1
68	и то же	2	1
69	в свою очередь	2	1
70	не столько в	1	1
71	в известном смысле	2	1
72	в большей или	3	1
73	или меньшей степени	3	1
74	всего произведения как	1	1
75	одни и те	1	1
76	бы оно ни	1	1
77	прежде всего в	1	1
78	во всяком случае	5	1
79	могла бы быть	1	1
80	самом же деле	1	1
81	включает в себя	1	1
82	не исключают друг	1	1
83	этой точки зрения	1	1
84	во всех своих	1	1
85	на фоне которых	1	1
86	по аналогии с	1	1
87	никогда не бывает	1	1
88	от автора и	1	1
89	или во всяком	2	1
90	мы имеем в	1	1
91	и те же	1	1
92	и вследствие этого	1	1
93	к тому что	2	1
94	одной и той	1	1
95	автором и его	1	1
96	друг с другом	2	1
97	себя в них	1	1
98	как и в	1	1
