N	2gram	Bakhtin_Pr_2	ViktorSh
1	в книге	1	3
2	конце концов	2	2
3	в том	6	2
4	и в	43	2
5	в конце	2	2
6	том что	2	2
7	дело в	2	1
8	речи и	4	1
9	как же	2	1
10	только в	4	1
11	и не	29	1
12	в другом	7	1
13	то же	8	1
14	слово по	2	1
15	по крайней	1	1
16	так как	4	1
17	все время	1	1
18	и его	8	1
19	в которых	2	1
20	к этому	1	1
21	так в	1	1
22	да и	5	1
23	прозы в	1	1
24	к чему	1	1
25	в этом	13	1
26	крайней мере	1	1
27	стоит на	1	1
28	все дело	1	1
29	том же	4	1
30	в их	3	1
31	и только	3	1
32	и то	2	1
33	по поводу	1	1
34	один пример	1	1
35	не хочу	1	1
36	ли над	1	1
37	далеко не	4	1
38	хотя бы	2	1
39	в значительной	1	1
40	в самом	7	1
41	языка если	1	1
42	ведь дело	1	1
43	все то	1	1
44	на одном	1	1
45	по существу	3	1
46	и способами	1	1
47	все это	5	1
48	бы уже	1	1
49	ведь это	2	1
50	без учета	1	1
51	но это	4	1
52	их как	1	1
53	не даром	1	1
54	в устах	1	1
55	одно и	2	1
56	самом деле	5	1
57	значительной степени	1	1
58	по своим	3	1
59	тем более	1	1
60	я не	4	1
