N	4gram	Bakhtin_Pr_2	VLabPisa
1	в то же время	5	5
2	и не может быть	1	2
3	в большей или меньшей	1	2
4	с одной стороны и	1	2
5	в том числе и	1	2
6	большей или меньшей степени	1	2
7	до сих пор не	1	1
8	никогда не может быть	1	1
9	и т д но	1	1
10	говорит в письме к	1	1
11	в том или ином	1	1
12	одно и то же	2	1
13	но в то же	3	1
14	то это вовсе не	1	1
15	в той или иной	3	1
16	и то же но	1	1
17	и так или иначе	1	1
18	в то время как	2	1
19	как если бы он	1	1
20	одну и ту же	1	1
21	во время работы над	1	1
22	уже сама по себе	1	1
