N	3gram	Trubetskoy_1	UchenyiS
1	не может быть	1	4
2	с другой стороны	1	3
3	то же время	2	3
4	бы то ни	2	3
5	в то же	2	3
6	в этой области	1	3
7	то ни было	2	3
8	а между тем	1	2
9	и в этой	1	2
10	в самом деле	1	2
11	то же самое	2	2
12	до сих пор	5	2
13	в этом отношении	2	2
14	на каждом шагу	1	2
15	в том что	3	2
16	по крайней мере	5	2
17	в конце концов	3	2
18	или иначе связанные	1	1
19	каждом шагу и	1	1
20	или по крайней	1	1
21	так или иначе	3	1
22	не в том	1	1
23	иначе связанные с	1	1
24	с другом не	1	1
25	более или менее	5	1
26	имеем в виду	1	1
27	в значительной мере	2	1
28	в широком смысле	1	1
29	другом не связанных	1	1
30	но по существу	1	1
31	и в то	1	1
32	в первую очередь	1	1
33	с тем что	1	1
34	можно сказать что	2	1
35	мы имеем в	1	1
36	на то что	2	1
37	которые могли бы	1	1
38	друг с другом	5	1
39	что мы можем	1	1
40	в данном случае	1	1
41	может быть в	1	1
42	и т.д в	1	1
43	но в то	1	1
44	с одной стороны	7	1
