N	2gram	Bakhtin_Fr_8	VLabPisa
1	таким образом	17	27
2	в этом	14	26
3	и в	56	25
4	не только	8	22
5	может быть	3	21
6	и не	9	19
7	не может	2	17
8	в его	18	15
9	в процессе	5	14
10	прежде всего	6	13
11	в том	13	13
12	этом отношении	1	13
13	все это	8	12
14	в частности	7	12
15	из них	2	11
16	с другой	2	11
17	в качестве	4	10
18	не могут	1	10
19	о том	4	10
20	что в	5	9
21	для него	2	9
22	по этому	1	9
23	но и	9	9
24	то же	11	9
25	и др	8	9
26	к этому	2	9
27	все эти	15	8
28	по словам	1	8
29	реальной действительности	1	8
30	другой стороны	2	8
31	могут быть	1	8
32	не следует	1	8
33	в своем	3	8
34	из этих	1	7
35	как и	5	7
36	говорит о	2	7
37	же в	1	7
38	отношению к	1	7
39	не было	5	7
40	во всех	8	7
41	в году	3	7
42	вместе с	2	7
43	по отношению	1	7
44	творчества в	1	7
45	а не	2	7
46	было бы	2	7
47	том что	8	7
48	главным образом	3	6
49	в себе	4	6
50	и его	12	6
51	так и	13	6
52	в нем	8	6
53	у него	7	6
54	бы и	2	6
55	между тем	3	6
56	это не	2	6
57	то что	3	6
58	в то	12	6
59	или менее	2	6
60	более или	2	6
61	том же	1	6
62	их в	4	6
63	одним из	5	5
64	все же	2	5
65	же время	10	5
66	действующих лиц	2	5
67	не в	3	5
68	в их	3	5
69	сказать что	3	5
70	один из	5	5
71	действительности и	2	5
72	тому что	1	5
73	он говорит	2	5
74	только в	9	5
75	в результате	5	5
76	образы и	4	5
77	в пределах	5	5
78	связи с	6	5
79	как бы	11	5
80	и при	2	5
81	в связи	3	4
82	можно сказать	2	4
83	как раз	2	4
84	даже в	4	4
85	в своей	2	4
86	гоголь в	1	4
87	в одном	2	4
88	чем же	1	4
89	в ее	6	4
90	это только	1	4
91	никогда не	5	4
92	перед нами	3	4
93	в романе	21	4
94	вот как	2	4
95	художественный образ	1	4
96	что все	4	4
97	в них	11	4
98	одна из	4	4
99	равно как	1	4
100	в этой	6	4
101	когда он	2	4
102	в самом	9	4
103	образов и	1	4
104	для его	1	4
105	к тому	1	4
106	их и	2	4
107	с его	5	4
108	что он	2	4
109	момент в	2	3
110	со своим	1	3
111	в значительной	2	3
112	жизни и	1	3
113	что они	2	3
114	так же	2	3
115	как на	1	3
116	в котором	2	3
117	и ее	4	3
118	и их	8	3
119	большей или	3	3
120	точки зрения	6	3
121	например в	4	3
122	и он	1	3
123	с тем	2	3
124	видели что	3	3
125	его в	2	3
126	того что	1	3
127	и мир	1	3
128	и к	4	3
129	образе и	1	3
130	некоторые из	1	3
131	ее в	1	3
132	человека и	2	3
133	и от	1	3
134	утверждает что	1	3
135	мы видели	5	3
136	или меньшей	3	3
137	том как	1	3
138	в слове	2	3
139	бы в	3	3
140	сил и	1	3
141	него в	1	3
142	образом в	2	3
143	во время	5	3
144	всех этих	3	3
145	др в	2	3
