N	3gram	Tiupa_Anal_3	Mirosoze
1	не может быть	1	8
2	для того чтобы	1	4
3	что и в	1	4
4	что иное как	1	3
5	до сих пор	1	3
6	есть не что	1	3
7	не что иное	1	3
8	и он же	1	2
9	и той же	2	2
10	подобно тому как	2	2
11	с самим собою	1	2
12	о том что	5	2
13	одной и той	2	2
14	по отношению к	7	2
15	как и в	4	2
16	в том что	7	2
17	а между тем	1	1
18	он так и	1	1
19	том что он	2	1
20	так и не	5	1
21	с точки зрения	2	1
22	в этом мире	1	1
23	сам по себе	1	1
24	что он не	1	1
25	между тем как	1	1
26	в этом отношении	3	1
27	ни у кого	1	1
28	своего отца и	1	1
29	в значительной степени	2	1
30	которые могли бы	1	1
31	знает личности как	1	1
32	это ведет к	1	1
33	не есть ни	1	1
34	и есть не	1	1
35	во втором случае	1	1
36	и в этой	1	1
37	по природе своей	1	1
38	но и его	1	1
39	в каждом человеческом	1	1
40	не для того	1	1
41	по ту сторону	1	1
42	как бы не	1	1
43	не знает личности	1	1
44	между тем в	1	1
45	той или иной	3	1
46	сама по себе	2	1
47	на самом деле	1	1
48	именно потому что	1	1
49	по своей природе	1	1
