N	2gram	Tiupa_Anal_3	UchenyiS
1	и в	18	14
2	а не	9	10
3	не только	22	10
4	и не	12	8
5	прежде всего	5	8
6	в этом	14	7
7	не может	2	7
8	то что	2	7
9	может быть	9	6
10	эстетического объекта	2	6
11	в искусстве	2	6
12	в художественном	1	5
13	и только	1	5
14	художественное произведение	1	5
15	все это	3	5
16	то же	3	5
17	хотя бы	1	5
18	в их	6	4
19	конечном счете	2	4
20	с другой	7	4
21	в конечном	2	4
22	но и	13	4
23	в этой	6	4
24	у нас	1	3
25	в своей	1	3
26	все же	4	3
27	не как	2	3
28	в то	3	3
29	же время	3	3
30	по нашему	1	3
31	или точнее	2	3
32	и формы	1	3
33	в частности	12	3
34	для этого	1	3
35	другой стороны	5	3
36	очевидно что	2	3
37	не следует	1	3
38	для него	6	3
39	но в	2	3
40	не о	1	3
41	было бы	3	3
42	и т.д	2	3
43	это не	2	3
44	как и	14	3
45	только к	2	3
46	не столько	3	2
47	а между	1	2
48	сводится к	2	2
49	для всех	2	2
50	в себе	2	2
51	бы и	2	2
52	не случайно	8	2
53	по себе	4	2
54	мы и	1	2
55	в итоге	4	2
56	все они	2	2
57	но не	7	2
58	с его	8	2
59	ничего не	3	2
60	и у	1	2
61	этом смысле	1	2
62	тем что	2	2
63	и для	2	2
64	превращается в	1	2
65	о чем	4	2
66	и является	1	2
67	в широком	1	2
68	не все	1	2
69	вопроса о	2	2
70	крайней мере	4	2
71	что она	2	2
72	это было	1	2
73	что он	4	2
74	представляется нам	2	2
75	формы и	1	2
76	в том	9	2
77	только в	2	2
78	между тем	5	2
79	является в	1	2
80	могли бы	2	2
81	а о	1	2
82	таким образом	4	2
83	это уже	1	2
84	более чем	2	2
85	нам представляется	2	2
86	на эту	2	2
87	что и	5	2
88	по крайней	4	2
89	всех этих	1	2
90	в его	7	2
91	сих пор	1	2
92	если бы	1	2
93	как раз	7	2
94	в противовес	2	2
95	могут быть	2	2
96	что мы	2	2
97	не в	6	2
98	его и	1	2
99	в самом	5	2
100	самом деле	2	2
101	мы не	3	2
102	искусства как	1	2
103	этом отношении	3	2
104	в конце	5	2
105	но это	1	2
106	не есть	4	2
107	том что	12	2
108	не могут	1	2
109	до сих	1	2
110	работы по	1	2
111	всего лишь	8	1
112	читателя который	1	1
113	и всякого	1	1
114	что по	4	1
115	иначе в	1	1
116	степени и	1	1
117	объекта и	1	1
118	в качестве	12	1
119	обе эти	2	1
120	он не	6	1
121	что при	1	1
122	об этом	2	1
123	отсюда и	1	1
124	поскольку он	3	1
125	в современном	1	1
126	отнюдь не	4	1
127	не обладает	1	1
128	само по	1	1
129	приводит к	4	1
130	все что	1	1
131	в значительной	2	1
132	на его	2	1
133	с тем	2	1
134	тот же	1	1
135	еще одно	1	1
136	как целого	1	1
137	это верно	1	1
138	что было	1	1
139	бы в	1	1
140	по его	3	1
141	присущей ему	1	1
142	бы это	1	1
143	в свое	2	1
144	в течение	1	1
145	тем более	1	1
146	независимо от	1	1
147	в известном	1	1
148	данном случае	3	1
149	себе еще	1	1
150	отдельности и	1	1
151	входит в	2	1
152	частности с	1	1
153	или даже	1	1
154	иначе говоря	2	1
155	очень часто	1	1
156	из первых	1	1
157	можно сказать	4	1
158	одно из	1	1
159	литературы в	1	1
160	только как	1	1
161	так возникает	1	1
162	был первым	1	1
163	стороны в	1	1
164	не поднимается	1	1
165	сказать что	2	1
166	мы можем	2	1
167	о том	6	1
168	не столь	1	1
169	перестают быть	1	1
170	как нам	5	1
171	его как	3	1
172	достаточно ясно	1	1
173	с новой	1	1
174	было и	1	1
175	ее в	1	1
176	и потому	2	1
177	правда не	1	1
178	все его	1	1
179	идет не	1	1
180	у кого	1	1
181	нам известно	1	1
182	что в	9	1
183	впервые в	3	1
184	эстетический объект	1	1
185	он был	1	1
186	тезис о	1	1
187	для себя	1	1
188	т.д в	1	1
189	а для	2	1
190	как на	1	1
191	же в	2	1
192	вне пределов	1	1
193	ролью в	2	1
194	того что	1	1
195	тем в	1	1
196	с одной	2	1
197	должно быть	1	1
198	той же	5	1
199	художественного впечатления	1	1
200	уже не	5	1
201	к этому	3	1
202	так и	14	1
203	в таком	1	1
204	мы имеем	5	1
205	сложного и	1	1
206	связанных с	1	1
207	о которой	2	1
208	или иначе	1	1
209	он становится	1	1
210	человека и	1	1
211	искусства и	1	1
212	так или	1	1
213	из самых	1	1
214	произведения как	2	1
215	но если	1	1
216	к убийству	1	1
217	исторических фактов	1	1
218	его эстетической	1	1
219	в той	2	1
220	и литературного	1	1
221	только при	1	1
222	и все	2	1
223	в г	1	1
224	остается в	1	1
225	не было	3	1
226	в эстетический	1	1
227	и др	1	1
228	на то	1	1
229	сам по	1	1
230	одной стороны	2	1
231	никогда не	5	1
232	и даже	8	1
233	такое что	1	1
234	к лицу	1	1
235	в пределах	4	1
236	в произведении	3	1
237	с самим	2	1
238	из которых	1	1
239	у него	1	1
240	строго говоря	1	1
241	во мне	1	1
242	и делает	1	1
243	к изучению	1	1
244	этом случае	1	1
245	существенным для	1	1
246	произведения в	1	1
247	за пределы	1	1
248	и конструктивное	1	1
249	в нем	2	1
250	и так	1	1
251	бы ни	1	1
252	характер к	1	1
253	в ней	2	1
254	искусстве от	1	1
255	для первого	1	1
256	и прежде	2	1
257	у пушкина	3	1
258	доказывает что	2	1
259	для читателя	1	1
260	сводятся к	1	1
261	далеко не	4	1
262	то есть	10	1
263	место и	1	1
264	он и	3	1
265	в отдельности	1	1
266	жанра в	1	1
267	они в	1	1
268	не для	2	1
269	которые могли	1	1
270	в своем	4	1
271	в данном	4	1
272	объекта в	1	1
