N	2gram	Medvedev_B_1	Komedia
1	и в	1	22
2	и не	2	21
3	таким образом	1	12
4	к ней	1	8
5	об этом	1	7
6	еще не	1	6
7	не только	1	5
8	в своей	1	5
9	что в	1	5
10	прежде всего	1	5
11	все это	2	5
12	в ней	2	4
13	с другой	1	4
14	отнюдь не	1	4
15	все же	1	4
16	так и	1	4
17	до конца	1	4
18	а не	1	4
19	тем более	1	4
20	говорить о	1	3
21	было бы	1	3
22	далеко не	1	3
23	не о	1	3
24	одной из	1	3
25	всяком случае	1	3
26	во всяком	1	3
27	его не	1	2
28	меньше чем	1	2
29	и на	1	2
30	за пределы	1	2
31	больше чем	2	2
32	в области	1	2
33	и о	1	2
34	можно было	2	2
35	в эпоху	1	2
36	и во	1	2
37	и ее	1	2
38	не было	1	2
39	в пределах	1	2
40	а о	1	2
41	между ними	1	2
42	другой стороны	1	2
43	совершенно не	1	2
44	видеть в	2	1
45	вопрос о	1	1
46	из ее	1	1
47	по крайней	1	1
48	что все	1	1
49	же не	1	1
50	в трактовке	1	1
51	точке зрения	1	1
52	представляется нам	1	1
53	всего в	1	1
54	о них	1	1
55	никак не	1	1
56	крайней мере	1	1
57	бы больше	1	1
58	на которой	1	1
59	из своей	1	1
60	выходит за	1	1
61	было и	1	1
62	и потому	1	1
63	чем на	1	1
64	короче говоря	1	1
