N	2gram	Medvedev_F_2	Problema
1	то что	6	42
2	вовсе не	11	35
3	и в	38	32
4	и не	20	31
5	не есть	3	29
6	не просто	2	23
7	не менее	1	19
8	в этом	27	19
9	тем не	1	18
10	понятие символа	1	17
11	не только	9	17
12	потому что	2	16
13	в себе	1	15
14	в виде	1	15
15	по себе	7	15
16	а не	6	15
17	у нас	1	14
18	но в	4	14
19	может быть	23	14
20	как бы	4	14
21	как раз	6	13
22	в нем	13	13
23	сказать что	2	13
24	и тем	2	13
25	при помощи	2	13
26	так и	8	12
27	а именно	2	12
28	что в	7	12
29	том что	2	12
30	и т	14	11
31	и даже	4	11
32	если мы	5	11
33	ничего общего	1	11
34	о том	1	11
35	так как	4	11
36	прежде всего	15	10
37	т д	5	10
38	то же	6	10
39	отнюдь не	8	10
40	ничего не	4	10
41	в этой	6	10
42	так же	1	9
43	того чтобы	3	9
44	но не	2	9
45	что же	5	9
46	в таком	2	9
47	в том	11	9
48	но и	13	9
49	и это	2	9
50	раз и	4	9
51	в данном	1	9
52	все эти	6	8
53	данном случае	1	8
54	на то	1	8
55	не может	14	8
56	в своей	7	8
57	и о	2	8
58	общего с	1	8
59	для того	3	8
60	даже и	4	8
61	и на	3	8
62	и ее	6	8
63	было бы	6	8
64	есть только	2	8
65	он и	3	8
66	но это	2	8
67	во всяком	5	7
68	и является	1	7
69	здесь не	4	7
70	и все	3	7
71	во всех	5	7
72	того что	3	7
73	никогда не	2	7
74	как мы	7	7
75	ни в	2	7
76	такого рода	1	7
77	тем что	8	7
78	в них	1	7
79	сам по	3	7
80	всех этих	3	7
81	все это	3	7
82	что он	5	7
83	только в	6	7
84	действительности а	2	7
85	и здесь	3	6
86	говорить о	5	6
87	при этом	9	6
88	таким образом	20	6
89	в конце	2	6
90	так что	1	6
91	как это	2	6
92	то и	3	6
93	не существует	1	6
94	и есть	1	6
95	его в	3	6
96	есть не	1	6
97	этом смысле	2	6
98	совершенно не	4	6
99	на самом	3	6
100	но как	2	6
101	это не	2	6
102	хотя и	3	6
103	за пределы	1	6
104	в то	5	6
105	таком случае	1	6
106	о чем	1	6
107	в виду	2	6
108	в самом	16	6
109	самом деле	8	6
110	и то	2	6
111	и как	3	6
112	в его	10	6
113	для нас	1	5
114	можно сказать	1	5
115	связи с	13	5
116	и которые	1	5
117	то в	2	5
118	в других	7	5
119	мы должны	1	5
120	ни о	5	5
121	а только	2	5
122	вещи не	1	5
123	в котором	2	5
124	с тем	11	5
125	далеко не	1	5
126	все равно	1	5
127	не является	3	5
128	перед нами	2	5
129	той или	1	5
130	в своем	1	5
131	в связи	10	4
132	входит в	4	4
133	конце концов	2	4
134	или в	3	4
135	в литературе	1	4
136	и ни	1	4
137	перейти к	1	4
138	и для	5	4
139	мышления и	1	4
140	ровно ничего	1	4
141	не было	6	4
142	для обозначения	1	4
143	не в	15	4
144	тем самым	2	4
145	именно в	5	4
146	только то	1	4
147	в их	6	4
148	а в	6	4
149	если не	1	4
150	совсем не	2	4
151	и пр	21	4
152	и только	5	4
153	иметь в	1	4
154	и притом	1	4
155	сама по	1	4
156	действительности но	1	4
157	как в	4	4
158	в дальнейшем	4	4
159	не говоря	1	4
160	именно как	4	4
161	как он	1	4
162	в истории	6	4
163	тому что	2	4
164	он есть	1	4
165	один из	2	4
166	этого термина	2	4
167	их в	2	4
168	же в	1	4
169	функции в	2	4
170	только на	3	4
171	если бы	5	4
172	ни на	2	4
173	литературы и	4	4
174	его от	4	3
175	но она	1	3
176	смысл и	2	3
177	из них	4	3
178	как и	9	3
179	говорит о	1	3
180	того же	1	3
181	мы говорим	4	3
182	что они	4	3
183	или не	1	3
184	для себя	1	3
185	этому поводу	1	3
186	точки зрения	8	3
187	к нему	3	3
188	сих пор	1	3
189	сущность и	1	3
190	настоящее время	1	3
191	что это	3	3
192	с ним	2	3
193	и обозначаемого	1	3
194	и во	1	3
195	в теории	4	3
196	хотя бы	6	3
197	никак нельзя	1	3
198	не на	1	3
199	здесь в	1	3
200	но все	3	3
201	действительности в	1	3
202	оно не	4	3
203	и вполне	1	3
204	в ее	2	3
205	дело в	1	3
206	в действительности	1	3
207	по этому	2	3
208	с этим	5	3
209	сами по	2	3
210	в искусстве	2	3
211	в этих	2	3
212	с точки	7	3
213	до сих	1	3
214	но он	1	3
215	и его	21	3
216	именно на	3	3
217	в чем	2	3
218	что его	1	3
219	что не	4	3
220	мы увидим	1	3
221	что оно	4	3
222	да и	1	3
223	мы в	2	3
224	и еще	1	3
225	же и	2	3
226	всяком случае	5	3
227	ясно что	1	3
228	но ведь	3	3
229	или менее	1	3
230	только и	3	3
231	однако и	3	3
232	более или	1	3
233	вещи но	1	3
234	чтобы понять	1	3
235	для этого	2	3
236	другой стороны	4	3
237	только потому	1	3
238	в настоящее	1	3
239	а наоборот	3	3
240	и следовательно	1	3
241	во всей	2	3
242	но ее	1	3
243	к тому	4	3
244	однако не	3	3
245	он не	6	3
246	хотя в	1	3
247	несмотря на	1	3
248	же касается	1	3
249	быть и	3	3
250	с другой	3	3
251	уже не	7	3
252	на этот	1	3
253	в каком	1	3
254	теории литературы	1	3
255	уже в	2	3
256	как будто	1	3
257	как же	1	3
258	о нем	1	3
259	но именно	3	3
260	можно было	1	3
261	не обязательно	1	3
