N	3gram	Tiupa_Anal_3	Problemy
1	к себе самому	1	14
2	то же время	3	12
3	в то же	3	12
4	на самом деле	1	10
5	с самим собою	1	7
6	не может быть	1	6
7	по отношению к	7	5
8	во всяком случае	2	5
9	о себе самом	1	5
10	в этом смысле	1	4
11	с точки зрения	2	4
12	и прежде всего	2	4
13	а между тем	1	3
14	в самом деле	1	3
15	по крайней мере	4	3
16	все это было	1	3
17	с другой стороны	5	3
18	в слове о	2	2
19	в той или	1	2
20	подобно тому как	2	2
21	в этом случае	1	2
22	хотя бы и	1	2
23	сама по себе	2	2
24	в отличие от	2	2
25	даже в пределах	1	2
26	по ту сторону	1	2
27	о том что	5	2
28	в его внутреннюю	1	2
29	так и в	1	2
30	и в слове	1	2
31	той или иной	3	2
32	в сущности не	1	2
33	тем не менее	2	2
34	в большинстве случаев	1	2
35	оно стремится к	1	2
36	к тому же	3	2
37	именно потому что	1	2
38	если бы он	1	1
39	должны были бы	1	1
40	так и не	5	1
41	хотя и не	1	1
42	к миру но	1	1
43	всех без исключения	3	1
44	как нам кажется	2	1
45	и в особенности	1	1
46	может и не	1	1
47	до сих пор	1	1
48	что он не	1	1
49	в этом отношении	3	1
50	но вы как	1	1
51	с ними в	1	1
52	со всех сторон	1	1
53	как если бы	1	1
54	из уст в	1	1
55	в значительной степени	2	1
56	для него самого	1	1
57	в данном случае	3	1
58	прежде всего с	1	1
59	но и внутренне	1	1
60	не в самом	2	1
61	но как бы	1	1
62	не столько в	1	1
63	и как бы	1	1
64	всяком случае не	1	1
65	то что они	1	1
66	на жизнь и	1	1
67	вмещает в себя	1	1
68	и тот же	1	1
69	уст в уста	1	1
70	никогда не является	1	1
71	один и тот	1	1
72	не могла не	1	1
73	как бы не	1	1
74	в слове рассказчика	1	1
75	как и в	4	1
76	в свою очередь	4	1
77	и того же	3	1
78	не только не	3	1
79	можно сказать что	2	1
80	самим собою в	1	1
81	как бы ни	1	1
82	одного и того	3	1
83	вопрос о том	1	1
84	как бы в	1	1
85	в его глазах	1	1
86	для того чтобы	1	1
87	лицом к лицу	1	1
88	в том что	7	1
89	он не видит	1	1
90	возвращает нас к	1	1
91	что и в	1	1
92	обратим внимание на	1	1
93	в глубине души	1	1
