N	4gram	Bakhtin_Pr_1	Literetu
1	в то же время	3	7
2	не говоря уже о	1	3
3	бы то ни было	2	2
4	с одной стороны и	1	2
5	становится пустым заносчивым вырождается	1	1
6	как совокупность факторов художественного	1	1
7	в этом его серьезность	1	1
8	не что иное как	1	1
9	заносчивым вырождается и умирает	1	1
10	теряет почву становится пустым	1	1
11	только по отношению к	4	1
12	почву становится пустым заносчивым	1	1
13	совокупность факторов художественного впечатления	1	1
14	живет на границах в	1	1
15	значительность отвлеченный от границ	1	1
16	в эстетический объект в	1	1
17	этом его серьезность и	1	1
18	вопрос о том как	1	1
19	и тем не менее	1	1
20	в данном случае со	1	1
21	и значительность отвлеченный от	1	1
22	пустым заносчивым вырождается и	1	1
23	границах в этом его	1	1
24	существенно живет на границах	1	1
25	на границах в этом	1	1
26	его серьезность и значительность	1	1
27	в эстетическом объекте в	1	1
28	серьезность и значительность отвлеченный	1	1
29	которые могли бы быть	1	1
30	он теряет почву становится	1	1
