1	с одной стороны и	2	3
2	одно и то же	4	3
3	в какой мере не	1	2
4	одной и той же	1	2
5	не содержат в себе	1	2
6	с точки зрения самого	2	2
7	все больше и больше	1	2
8	в то время как	1	2
9	ни в какой мере	1	2
10	заключается только в том	1	1
11	есть не что иное	1	1
12	несмотря на то что	2	1
13	в этом и заключается	1	1
14	на самом же деле	1	1
15	и то и другое	2	1
16	одной стороны и с	1	1
17	не что иное как	1	1
18	то и другое не	1	1
19	привело к тому что	1	1
20	сама по себе она	1	1
21	то что говорится о	1	1
