N	3gram	Berdyaev_M_2	Narrotol
1	в том что	2	8
2	по отношению к	2	5
3	о том что	2	4
4	в этом отношении	1	3
5	той или иной	1	3
6	к тому что	3	3
7	по своей природе	1	2
8	с точки зрения	1	2
9	на самом деле	1	2
10	подобно тому как	2	2
11	но и в	1	2
12	все те же	1	2
13	в той мере	1	2
14	у нас нет	1	2
15	так же как	3	2
16	той мере в	1	2
17	мере в какой	1	2
18	не может быть	8	2
19	а между тем	1	1
20	что иное как	3	1
21	сомневаться в том	1	1
22	в чем не	2	1
23	как бы не	1	1
24	в которых он	1	1
25	никогда не будет	1	1
26	по сравнению с	1	1
27	а также в	1	1
28	того что есть	1	1
29	и быть может	1	1
30	ни у кого	1	1
31	с другим я	1	1
32	как в жизни	1	1
33	до сих пор	3	1
34	что это за	1	1
35	а не только	1	1
36	но в действительности	1	1
37	и не могли	1	1
38	по природе своей	1	1
39	за пределы своего	1	1
40	в этом направлении	1	1
41	означает что в	1	1
42	не для того	1	1
43	и теперь я	1	1
44	что у него	1	1
45	я не могу	1	1
46	на эту тему	1	1
47	в другом и	1	1
48	не может существовать	1	1
49	есть не что	3	1
50	ни в чем	2	1
51	не означает что	1	1
52	у него есть	1	1
53	никогда не бывает	2	1
54	человек в нем	1	1
55	не что иное	3	1
56	для того чтобы	4	1
57	в этом втором	1	1
58	природе своей не	1	1
