N	2gram	Tiupa_Disk_1	Stilisti
1	и в	16	42
2	не только	28	27
3	как бы	5	27
4	и т.п	12	24
5	прежде всего	11	22
6	и т.д	4	20
7	внутренней речи	2	18
8	хотя бы	3	17
9	то же	7	15
10	но и	14	15
11	и не	11	14
12	не может	9	12
13	может быть	17	12
14	как и	16	11
15	точки зрения	3	11
16	отнюдь не	8	10
17	в этом	15	10
18	и как	6	10
19	как мы	2	10
20	мы должны	1	10
21	мы не	1	9
22	при этом	13	9
23	в то	3	9
24	то что	5	9
25	все же	3	8
26	в себе	7	8
27	таким образом	3	8
28	тем самым	1	8
29	и это	1	8
30	с тем	1	8
31	что же	2	8
32	речевого общения	12	8
33	и на	5	7
34	в которой	1	7
35	было бы	1	7
36	и тем	2	7
37	никогда не	2	7
38	же время	4	7
39	потому что	4	7
40	с его	4	7
41	только в	7	7
42	и его	2	7
43	мы можем	1	7
44	а не	22	7
45	и от	1	7
46	во всех	5	6
47	точкой зрения	2	6
48	в этой	2	6
49	на его	4	6
50	в нем	9	6
51	не в	7	6
52	в процессе	5	6
53	в области	1	6
54	когда мы	1	6
55	так и	8	6
56	в форме	2	6
57	в конце	1	6
58	или иной	5	6
59	речи и	1	6
60	говорящего и	2	6
61	в свою	3	6
62	той же	1	5
63	уже в	2	5
64	в нашем	1	5
65	в той	1	5
66	независимо от	1	5
67	одно и	1	5
68	того или	2	5
69	мы видели	1	5
70	с точки	1	5
71	а в	5	5
72	не является	4	5
73	же самое	2	5
74	те же	1	5
75	в его	7	5
76	и является	1	5
77	и их	1	5
78	слова в	2	5
79	с помощью	1	5
80	вместе с	1	5
81	как это	1	5
82	слова и	1	5
83	и мимики	1	5
84	или иного	1	5
85	и то	1	4
86	самом деле	1	4
87	или иную	1	4
88	тем же	1	4
89	мы называем	1	4
90	общения в	2	4
91	слово не	2	4
92	себя в	2	4
93	и к	4	4
94	но в	8	4
95	в самом	3	4
96	что это	1	4
97	так сказать	2	4
98	уже не	4	4
99	в каждом	2	4
100	ту или	1	4
101	художественного творчества	1	4
102	и без	2	4
103	самого начала	1	4
104	на него	1	4
105	но все	1	4
106	всего в	1	4
107	к тому	5	4
108	той или	3	4
109	свою очередь	3	4
110	языка и	2	4
111	с самого	1	4
112	было в	2	4
113	если бы	1	4
114	в словах	1	4
115	о том	8	4
116	можно сказать	5	4
117	того что	3	4
118	один из	3	4
119	в качестве	34	4
120	вопроса о	1	4
121	точка зрения	2	4
122	общения и	2	4
123	связаны с	1	4
124	повествования о	1	4
125	а с	5	4
126	в слове	1	4
127	то есть	20	4
128	не существует	1	4
129	человеческой речи	1	3
130	отношения к	2	3
131	на самом	1	3
132	которое может	1	3
133	и само	1	3
134	только благодаря	1	3
135	еще не	14	3
136	нет и	1	3
137	перед нами	3	3
138	хотя и	2	3
139	зрения как	1	3
140	вследствие этого	3	3
141	что всякое	1	3
142	не к	1	3
143	не будет	1	3
144	об этом	2	3
145	лишь в	4	3
146	целое высказывание	1	3
147	это не	3	3
148	может стать	1	3
149	чаще всего	1	3
150	не мог	1	3
151	том что	19	3
152	что такое	1	3
153	что было	1	3
154	необходимо чтобы	1	3
155	и тому	1	3
156	связи с	4	3
157	т.п и	1	3
158	да и	1	3
159	в виду	2	3
160	но при	3	3
161	в ее	3	3
162	роль в	7	3
163	во второй	1	3
164	должно было	1	3
165	только на	1	3
166	в данной	3	3
167	из них	3	3
168	его и	1	3
169	в котором	5	3
170	в одном	2	3
171	не становится	1	3
