N	2gram	Tiupa_Narr_1	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	31	9
4	в этом	12	8
5	и в	11	8
6	тургенева в	1	7
7	но и	27	7
8	и все	3	7
9	то что	9	7
10	что в	3	7
11	все же	4	6
12	но в	7	6
13	в нем	4	6
14	как и	13	6
15	в котором	1	6
16	и с	3	6
17	о нем	3	6
18	в начале	3	6
19	и даже	2	6
20	в романе	2	6
21	то же	8	5
22	об этом	6	5
23	в то	4	5
24	же время	4	5
25	между тем	3	5
26	у него	7	5
27	не было	3	5
28	и не	23	5
29	в ней	4	4
30	что он	3	4
31	целый ряд	1	4
32	в россию	1	4
33	при этом	19	4
34	это не	3	4
35	все это	1	4
36	в виду	1	4
37	с ним	2	4
38	о том	4	4
39	для нас	1	4
40	уже в	1	4
41	может быть	15	4
42	как бы	6	4
43	так же	1	4
44	речь идет	3	3
45	одним из	1	3
46	он был	1	3
47	в чем	2	3
48	с его	4	3
49	в своем	3	3
50	и как	3	3
51	раз в	2	3
52	на то	2	3
53	его в	1	3
54	он не	3	3
55	далеко не	1	3
56	и уже	1	3
57	том что	7	3
58	в русской	3	3
59	и его	10	3
60	связи с	2	3
61	человека в	2	3
62	и о	3	3
63	что у	4	3
64	русской литературе	1	3
65	в его	6	3
66	в том	8	3
67	и у	1	3
68	в конце	2	3
69	тем что	1	3
70	в связи	2	3
71	о себе	1	3
72	наряду с	1	3
73	матери и	4	3
74	к этому	1	3
75	же как	1	2
76	и то	3	2
77	но после	1	2
78	и он	6	2
79	он сам	3	2
80	столь же	5	2
81	но как	3	2
82	ответ на	1	2
83	тогда как	10	2
84	к автору	1	2
85	отнюдь не	2	2
86	в известном	2	2
87	в той	2	2
88	его на	1	2
89	за границей	1	2
90	в этой	6	2
91	что к	1	2
92	в себе	6	2
93	их в	3	2
94	таким образом	1	2
95	в одну	1	2
96	в мире	4	2
97	в глазах	3	2
98	а с	1	2
99	не мог	6	2
100	во время	1	2
101	точки зрения	5	2
102	в своей	5	2
103	и ее	3	2
104	с точки	1	2
105	не менее	3	2
106	в повести	2	2
107	одна из	4	2
108	никогда не	4	2
109	в момент	1	2
110	к себе	4	2
111	так в	4	2
112	еще не	4	2
113	он писал	1	2
114	а также	6	2
115	тем более	1	2
116	после смерти	2	2
117	по мнению	1	2
118	об их	1	2
119	уже не	8	2
120	из них	4	2
121	его и	2	2
122	для него	4	2
123	от сознания	2	2
124	отношение к	1	2
125	к ним	2	2
126	как раз	6	2
127	и т.п	8	2
128	о влиянии	1	2
129	и стал	2	2
130	о чем	4	2
131	начиная с	3	2
132	не может	8	2
133	вместе с	2	2
134	в него	1	2
135	но это	1	2
136	что я	1	2
137	же в	2	2
138	а в	13	2
139	в период	1	2
140	в свою	2	2
141	как известно	3	1
142	через месяц	1	1
143	также и	3	1
144	и борьбы	1	1
145	того же	1	1
146	не имел	1	1
147	е годы	1	1
148	к своей	1	1
149	это и	1	1
150	идет о	3	1
151	и есть	1	1
152	ему не	1	1
153	что слово	1	1
154	ему что	1	1
155	социального неравенства	1	1
156	едва ли	3	1
157	в их	1	1
158	по его	1	1
159	из всех	1	1
160	полагает что	1	1
161	той же	1	1
162	пока только	1	1
163	не слишком	1	1
164	он как	1	1
165	в разные	1	1
166	событий и	1	1
167	ему в	2	1
168	и наказание	1	1
169	это время	1	1
170	по своему	2	1
171	как правило	5	1
172	но не	4	1
173	о смерти	2	1
174	не все	1	1
175	если в	2	1
176	и т.д	6	1
177	тут же	1	1
178	преступление и	1	1
179	в е	2	1
180	говорилось выше	1	1
181	и я	1	1
182	как по	1	1
183	как в	4	1
184	с этим	1	1
185	для всех	1	1
186	почувствовал что	1	1
187	что ее	1	1
188	такой детали	1	1
189	и наконец	1	1
190	то в	4	1
191	с просьбой	1	1
192	в самом	6	1
193	фабула мыслилась	1	1
194	что это	1	1
195	в целом	3	1
196	за это	1	1
197	тому же	6	1
198	во многих	1	1
199	но ведь	1	1
200	как он	1	1
201	не могла	2	1
202	да и	2	1
203	одному из	1	1
204	имело бы	1	1
205	в первой	2	1
206	ключ к	2	1
207	чем у	1	1
208	в силу	1	1
209	уже говорилось	1	1
210	людей и	1	1
211	однако в	3	1
212	одно и	2	1
213	не будет	2	1
214	вскоре в	1	1
215	говорить не	1	1
216	это было	2	1
217	в тишине	1	1
218	в итоге	1	1
219	в жизни	3	1
220	соответствии с	4	1
221	этого не	2	1
222	а за	2	1
223	не всегда	3	1
224	которой он	1	1
225	анекдот о	1	1
226	он и	2	1
227	в москве	2	1
228	может идти	1	1
229	одного и	1	1
230	в этих	2	1
231	своим характерным	1	1
232	в войне	2	1
233	что писатель	1	1
234	всяком случае	2	1
235	в авторском	1	1
236	дама с	1	1
237	своего рода	10	1
238	и уж	1	1
239	сам же	1	1
240	войне и	2	1
241	тем не	3	1
242	по крайней	1	1
243	что этот	1	1
244	раз и	1	1
245	на три	1	1
246	вплоть до	4	1
247	но они	3	1
248	тем самым	5	1
249	что эта	1	1
250	не имеет	2	1
251	было не	1	1
252	умер но	1	1
253	из их	1	1
254	ничего не	2	1
255	того как	1	1
256	это то	1	1
257	на разрыв	1	1
258	и лишь	1	1
259	ему было	2	1
260	реплики персонажей	1	1
261	по своей	1	1
262	и мире	2	1
263	потому что	5	1
264	в эпизоде	4	1
265	этом отношении	3	1
266	тем это	1	1
267	только от	2	1
268	в мировой	1	1
269	была на	2	1
270	могут быть	1	1
271	ли не	2	1
272	отличается от	1	1
273	по характеру	1	1
274	не совсем	1	1
275	у себя	2	1
276	с ее	2	1
277	свою очередь	2	1
278	но при	3	1
279	это будет	1	1
280	у чехова	6	1
281	в ее	1	1
282	не могло	2	1
283	роль в	2	1
284	верит в	1	1
285	ему текста	1	1
286	на страницах	1	1
287	и сам	1	1
288	так и	5	1
289	на нее	1	1
290	не с	1	1
291	ясно что	1	1
292	живет в	1	1
293	так называемую	1	1
294	еще в	3	1
295	вошел в	1	1
296	во второй	1	1
297	том как	1	1
298	но у	1	1
299	с героем	1	1
300	и вообще	1	1
301	внимание к	1	1
302	иисуса христа	1	1
303	во всяком	2	1
304	приближается к	1	1
305	его жизни	3	1
306	до сих	2	1
307	нас в	2	1
308	это была	2	1
309	и углублялось	1	1
310	к нему	4	1
311	во всех	1	1
312	себе знать	1	1
313	в форме	2	1
314	крайней мере	1	1
315	вслед за	1	1
316	с характеристикой	1	1
317	также в	1	1
318	человека как	1	1
319	в литературе	4	1
320	этих строк	1	1
321	один из	6	1
322	сразу же	1	1
323	за исключением	1	1
324	ли он	1	1
325	а тут	1	1
326	во всем	1	1
327	он уже	2	1
328	говорилось об	1	1
329	сложности и	1	1
330	в качестве	14	1
331	себя в	2	1
332	мы бы	1	1
333	больше не	1	1
334	практике его	1	1
335	предположение что	1	1
336	в душе	1	1
337	этот раз	1	1
338	что для	1	1
339	говорит о	1	1
340	в одном	4	1
341	не затрагивает	1	1
342	друг друга	2	1
343	нарастало и	1	1
344	каждый из	2	1
345	за человек	2	1
346	не просто	1	1
347	в особенности	2	1
348	никого не	1	1
349	из двух	1	1
350	о своей	2	1
351	с другой	2	1
352	именно в	3	1
353	все равно	2	1
