N	2gram	Vinokur_St_1	VrazhdaK
1	не только	18	9
2	в этом	21	8
3	и в	44	8
4	и что	4	8
5	но и	10	7
6	и все	2	7
7	то что	18	7
8	что в	30	7
9	все же	8	6
10	но в	10	6
11	в нем	5	6
12	как и	9	6
13	в котором	5	6
14	и с	3	6
15	о нем	1	6
16	в начале	3	6
17	и даже	5	6
18	то же	5	5
19	об этом	3	5
20	в то	9	5
21	же время	4	5
22	между тем	3	5
23	у него	2	5
24	не было	4	5
25	в россии	4	5
26	и не	16	5
27	г а	1	5
28	в ней	3	4
29	что он	10	4
30	в истории	3	4
31	целый ряд	2	4
32	при этом	2	4
33	это не	8	4
34	несмотря на	2	4
35	все это	5	4
36	в виду	1	4
37	во многом	1	4
38	о том	17	4
39	для нас	7	4
40	уже в	2	4
41	может быть	15	4
42	он считал	1	4
43	как бы	4	4
44	в своих	2	4
45	так же	5	4
46	речь идет	4	3
47	который был	1	3
48	я не	7	3
49	он был	3	3
50	в чем	3	3
51	с его	1	3
52	в своем	2	3
53	раз в	2	3
54	на то	4	3
55	его в	2	3
56	он не	2	3
57	далеко не	1	3
58	и уже	2	3
59	том что	29	3
60	но он	2	3
61	в русской	1	3
62	и его	8	3
63	и о	1	3
64	что у	4	3
65	и во	2	3
66	в его	9	3
67	в том	36	3
68	и у	2	3
69	чтобы он	1	3
70	в конце	3	3
71	тем что	5	3
72	я хотел	1	3
73	т е	15	3
74	к этому	1	3
75	отношения к	2	2
76	же как	3	2
77	и то	5	2
78	столь же	4	2
79	но как	1	2
80	ответ на	3	2
81	в известном	1	2
82	в той	6	2
83	в этой	11	2
84	в себе	2	2
85	время и	1	2
86	о которой	3	2
87	их в	2	2
88	нашего времени	1	2
89	таким образом	7	2
90	в одну	1	2
91	в глазах	1	2
92	в них	1	2
93	а с	3	2
94	во время	3	2
95	точки зрения	11	2
96	в своей	6	2
97	с точки	8	2
98	место в	1	2
99	не менее	5	2
100	том же	1	2
101	одна из	1	2
102	никогда не	5	2
103	п в	3	2
104	и далее	1	2
105	в момент	1	2
106	и это	2	2
107	на основе	1	2
108	россии в	1	2
109	так в	1	2
110	еще не	3	2
111	он писал	1	2
112	а также	2	2
113	там же	1	2
114	тем более	4	2
115	по мнению	3	2
116	об их	1	2
117	уже не	1	2
118	при помощи	2	2
119	из них	8	2
120	его и	1	2
121	могли быть	1	2
122	для него	6	2
123	отношение к	2	2
