N	2gram	Bakhtin_sl_2	Poddanst
1	не только	24	17
2	и в	39	14
3	и не	22	12
4	в области	2	11
5	в этом	16	10
6	в отношении	4	10
7	в качестве	1	9
8	но в	6	9
9	то же	4	9
10	в том	5	9
11	в пределах	13	8
12	хотя бы	3	8
13	только в	5	7
14	в то	4	7
15	же время	4	7
16	в судьбах	1	6
17	в ней	3	6
18	xix века	4	6
19	но и	21	6
20	в смысле	4	6
21	отношении к	4	5
22	с другой	5	5
23	может быть	37	5
24	не в	9	5
25	и о	1	5
26	а также	3	4
27	в своем	6	4
28	и к	6	4
29	как бы	7	4
30	и политического	1	4
31	том что	5	4
32	не может	20	4
33	и потому	7	4
34	по себе	5	4
35	на пути	1	4
36	что в	3	4
37	же в	1	4
38	а в	4	4
39	то что	2	4
40	и т	35	3
41	мы не	2	3
42	между тем	3	3
43	это не	5	3
44	хотя и	2	3
45	и как	3	3
46	с ними	5	3
47	с одной	5	3
48	в себе	2	3
49	в нем	19	3
50	сами по	1	3
51	для того	2	3
52	прежде всего	8	3
53	одной стороны	5	3
54	и без	1	3
55	с точки	3	3
56	но не	6	3
57	могут быть	7	3
58	точки зрения	8	3
59	и это	1	2
60	отношения к	4	2
61	например в	5	2
62	в сфере	2	2
63	и есть	1	2
64	в мире	1	2
65	есть не	1	2
66	к началу	1	2
67	никак не	1	2
68	не нужно	1	2
69	испытания и	2	2
70	в значительной	6	2
71	во всех	12	2
72	говорить о	3	2
73	во всей	1	2
74	из важнейших	2	2
75	отнюдь не	1	2
76	в русском	1	2
77	с этим	2	2
78	того что	1	2
79	стороны и	3	2
80	и других	4	2
81	в его	7	2
82	в виде	2	2
83	как раз	1	2
84	именно как	2	2
85	и с	9	2
86	точек зрения	3	2
87	именно в	2	2
88	мира с	1	2
89	и тем	1	2
90	в них	6	2
91	не было	2	2
92	а не	14	2
93	должно быть	1	2
94	в эту	1	2
95	эта идея	2	2
96	образом на	1	2
97	не столько	3	2
98	ней не	1	2
99	и достоевского	1	2
100	не менее	4	2
101	все это	16	2
102	не о	1	2
103	одна из	4	2
104	слова но	1	2
105	она ни	1	2
106	да и	1	2
107	еще более	2	2
108	создается в	1	2
109	для нас	5	2
110	может и	2	2
111	в частности	1	2
112	в недрах	1	2
113	так называемые	1	2
114	том числе	1	2
115	в применении	1	1
116	от этой	1	1
117	также и	2	1
118	проблема эта	2	1
119	пусть не	1	1
120	тем и	1	1
121	как известно	1	1
122	как по	1	1
123	в иных	1	1
124	и этим	1	1
125	в себя	2	1
126	определенный и	1	1
127	культуры и	1	1
128	по преимуществу	1	1
129	в рамки	2	1
130	применении к	1	1
131	должна быть	3	1
132	собственном смысле	3	1
133	стремиться к	2	1
134	обособления и	1	1
135	и творческой	1	1
136	поскольку она	1	1
137	те же	2	1
138	не с	3	1
139	особенно в	2	1
140	и среди	1	1
141	и само	2	1
142	как таковую	1	1
143	еще в	1	1
144	что уже	1	1
145	для этого	4	1
146	к пределу	1	1
147	в собственном	3	1
148	мир с	1	1
149	с ее	2	1
150	и ее	1	1
151	слова о	2	1
152	эти явления	1	1
153	и здесь	2	1
154	подчеркнуть что	2	1
155	может не	2	1
156	и что	1	1
157	литературы и	1	1
158	притом в	2	1
159	еще не	7	1
160	и на	4	1
161	в различных	2	1
162	с его	7	1
163	науке и	1	1
164	процесс этот	1	1
165	бы она	1	1
166	и главное	1	1
167	и разных	1	1
168	различия между	1	1
169	смысле не	1	1
170	увидеть и	1	1
171	не все	2	1
172	что и	3	1
173	отличие от	13	1
174	не просто	1	1
175	ее представители	1	1
176	также в	1	1
177	в истории	11	1
178	к внешнему	1	1
179	в рамках	1	1
180	не входят	2	1
181	и мир	4	1
182	стилю и	2	1
