N	3gram	Vinokur_Ku_1	Sovremen
1	с точки зрения	9	5
2	в зависимости от	5	4
3	не может быть	3	4
4	тем не менее	4	2
5	во всяком случае	5	2
6	в отличие от	1	2
7	в свою очередь	3	2
8	в настоящее время	1	2
9	и может быть	1	1
10	что иное как	1	1
11	и все те	1	1
12	по крайней мере	5	1
13	не в том	4	1
14	в связи с	3	1
15	по отношению к	8	1
16	то ни другое	1	1
17	на самом деле	2	1
18	в этом смысле	3	1
19	когда мы говорим	1	1
20	так же как	1	1
21	с совершенно иными	1	1
22	в свое время	2	1
23	в этом случае	2	1
24	до наших дней	1	1
25	у нас есть	2	1
26	и все же	1	1
27	следующим образом если	1	1
28	до сих пор	4	1
29	вместе с ним	1	1
30	то же время	2	1
31	тот или иной	1	1
32	вопрос должен быть	1	1
33	и в то	1	1
34	сами по себе	1	1
35	у нас на	1	1
36	по аналогии с	1	1
37	что в ней	1	1
38	а может быть	1	1
39	но они не	1	1
40	можно было бы	3	1
41	в самом деле	7	1
42	той или иной	1	1
43	но все же	2	1
44	мы говорим о	1	1
45	и ничего не	1	1
46	этот раз из	1	1
47	не может но	1	1
48	ни то ни	1	1
49	в том случае	1	1
50	и действительное значение	1	1
51	в то же	2	1
52	те или иные	1	1
53	не что иное	1	1
54	и мы получим	1	1
55	в том что	15	1
56	на этот вопрос	1	1
57	с одной стороны	1	1
58	именно в том	2	1
59	на этот раз	1	1
