N	3gram	Tiupa_Disk_1	Otkroven
1	в нем нет	1	3
2	никогда не было	1	2
3	а не в	2	2
4	не может быть	3	2
5	как и все	1	2
6	как будто бы	1	1
7	по природе своей	5	1
8	в строгом смысле	1	1
9	не в том	3	1
10	потому что в	1	1
11	прежде всего в	1	1
12	том что в	2	1
13	и в том	1	1
14	о том как	1	1
15	может быть осуществлено	1	1
16	не было и	1	1
17	и не может	1	1
18	во всяком случае	1	1
19	в россии в	1	1
20	том случае если	1	1
21	сам по себе	1	1
22	в том плане	2	1
23	о том что	5	1
24	в этом отношении	1	1
25	и прежде всего	1	1
26	в том что	13	1
27	а иногда и	1	1
28	и заключается в	1	1
29	на то что	1	1
30	в том случае	1	1
31	а не только	2	1
32	как и в	1	1
