N	3gram	Nazirov_Tv_1	slovoVRo
1	и т п	2	33
2	человек и его	1	12
3	в отличие от	1	12
4	с одной стороны	1	5
5	по отношению к	1	4
6	то же время	12	4
7	в то же	13	4
8	в отношении к	1	4
9	в том что	6	4
10	с установкой на	1	3
11	но в то	4	3
12	в свою очередь	1	2
13	и наконец в	1	2
14	до сих пор	1	2
15	в мировой литературе	1	2
16	хотя бы и	1	2
17	не только в	2	2
18	не могут быть	1	2
19	в его романах	2	2
20	и в романе	1	2
21	в связи с	1	2
22	человека и его	2	2
23	и т д	1	2
24	этой проблемы в	1	1
25	о нем и	1	1
26	хотя и не	1	1
27	то есть не	2	1
28	том что в	2	1
29	как один из	1	1
30	гоголя и достоевского	1	1
31	дело не только	1	1
32	не может не	1	1
33	ибо у него	1	1
34	в его понимании	1	1
35	и способы его	1	1
36	но все это	1	1
37	и в то	2	1
38	сами по себе	1	1
39	по себе а	1	1
40	на этой почве	1	1
41	в ту же	1	1
42	во всей ее	1	1
43	что он не	1	1
44	все более и	1	1
45	это не значит	1	1
46	мы уже говорили	1	1
47	так и от	1	1
48	с другой стороны	1	1
49	роман xix века	1	1
50	при этом с	1	1
51	он живет и	1	1
52	тем не менее	2	1
53	о том что	5	1
54	не менее чем	1	1
55	как и в	1	1
56	на протяжении всего	2	1
57	с самого начала	3	1
58	более и более	1	1
59	человеку как к	2	1
60	в романе мы	1	1
61	человека но это	1	1
62	не может и	1	1
63	это как бы	3	1
64	в романах достоевского	13	1
65	в создании образа	1	1
