N	2gram	Bakhtin_sl_2	VerxiiNi
1	и в	39	26
2	таким образом	8	22
3	в этом	16	15
4	вместе с	2	15
5	точки зрения	8	13
6	как бы	7	12
7	в том	5	11
8	не только	24	10
9	и с	9	10
10	может быть	37	10
11	связи с	3	9
12	в области	2	9
13	так как	4	9
14	но и	21	9
15	что в	3	9
16	но не	6	8
17	с другой	5	8
18	и не	22	8
19	но в	6	7
20	связанные с	4	7
21	но все	5	7
22	том что	5	7
23	к нему	3	7
24	с одной	5	7
25	то что	2	7
26	одной стороны	5	7
27	того же	1	6
28	все же	6	6
29	все эти	6	6
30	в себе	2	6
31	всяком случае	2	6
32	с точки	3	6
33	в отношении	4	6
34	так и	15	6
35	о том	2	6
36	в конце	1	6
37	что и	3	6
38	несмотря на	1	6
39	и потому	7	6
40	все это	16	6
41	во всяком	3	6
42	отношение к	4	5
43	сих пор	2	5
44	и к	6	5
45	в мире	1	5
46	лишь в	3	5
47	или менее	2	5
48	того чтобы	2	5
49	никогда не	7	5
50	для того	2	5
51	образом в	1	5
52	в его	7	5
53	до сих	2	5
54	а не	14	5
55	и для	5	5
56	одной из	1	5
57	более или	2	5
58	том числе	1	5
59	то же	4	4
60	к востоку	1	4
61	целый ряд	1	4
62	в самом	1	4
63	в этой	1	4
64	и по	1	4
65	то есть	26	4
66	с другими	4	4
67	должен был	1	4
68	он не	2	4
69	далеко не	2	4
70	попадает в	1	4
71	в то	4	4
72	очень мало	1	4
73	в нем	19	4
74	а в	4	4
75	числе и	1	4
76	что оно	4	4
77	и что	1	4
78	и только	1	4
79	только в	5	4
80	не может	20	4
81	в смысле	4	4
82	и от	3	4
83	в этих	7	4
84	что он	2	4
85	в виде	2	4
86	так называемые	1	3
87	к сожалению	1	3
88	в своем	6	3
89	и нет	2	3
90	и как	3	3
91	за собой	1	3
92	и те	1	3
93	при этом	7	3
94	всегда и	1	3
95	и при	2	3
96	тем не	1	3
97	не менее	4	3
98	как о	2	3
99	в других	1	3
100	и о	1	3
101	с самого	1	3
102	культуры и	1	3
103	можно сказать	1	3
104	в значительной	6	3
105	того что	1	3
106	хотя бы	3	3
107	в качестве	1	3
108	из которого	1	3
109	уже не	5	3
110	для него	7	3
111	в одном	2	3
112	к ним	1	3
113	случае не	1	3
114	и даже	7	3
