N	3gram	Trubetskoy_1	Vladivir
1	о том что	4	7
2	в том что	3	7
3	то что он	2	5
4	то же время	2	4
5	на то что	2	4
6	в то же	2	4
7	на этот раз	1	4
8	более или менее	5	3
9	в конце концов	3	3
10	и потому что	2	3
11	с другой стороны	1	3
12	не может быть	1	3
13	один и тот	1	2
14	главным образом в	3	2
15	и в то	1	2
16	в то время	1	2
17	и тот же	1	2
18	ярко свидетельствует о	1	2
19	еще и потому	1	2
20	все это было	1	2
21	во всяком случае	6	2
22	можно сказать что	2	2
23	и по своим	1	2
24	тем не менее	3	2
25	для того чтобы	5	2
26	что и в	1	2
27	к тому же	4	2
28	в том виде	2	1
29	а следовательно и	1	1
30	потому что в	1	1
31	больше чем с	1	1
32	смерти этого последнего	1	1
33	в самом деле	1	1
34	в настоящее время	1	1
35	в этой области	1	1
36	свидетельствует о том	1	1
37	свою очередь с	1	1
38	людей но и	1	1
39	бы то ни	2	1
40	но все это	2	1
41	только то что	1	1
42	в то что	1	1
43	виде в каком	1	1
44	в значительной мере	2	1
45	вместе с тем	8	1
46	что даже в	1	1
47	и иной раз	1	1
48	его жизнь в	1	1
49	у него в	1	1
50	не потому что	1	1
51	но в то	1	1
52	то ни было	2	1
53	с одной стороны	7	1
54	смысле этого слова	1	1
55	в связи с	3	1
56	смысле так и	1	1
57	и в этом	2	1
58	но в общем	1	1
59	а с другой	5	1
60	притом не только	1	1
61	указывает на то	1	1
62	так или иначе	3	1
63	из них не	1	1
64	до настоящего времени	1	1
65	что касается до	1	1
66	том виде в	2	1
67	а в том	1	1
68	в разные стороны	1	1
69	так и в	1	1
70	и вместе с	4	1
71	и что она	1	1
72	в свою очередь	1	1
73	это и есть	1	1
74	с тем что	1	1
75	а после смерти	1	1
76	и никогда не	1	1
77	но и для	2	1
78	не только не	1	1
79	в котором он	1	1
80	после смерти этого	1	1
81	он в конце	1	1
82	и только в	1	1
83	лицом к лицу	1	1
84	в себе не	1	1
85	в этом отношении	2	1
