N	3gram	Vygotskiy__1	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	с точки зрения	18	2
4	по нашему убеждению	1	2
5	как раз в	1	2
6	не может быть	5	2
7	в том что	15	2
8	а следовательно и	1	1
9	то что я	1	1
10	в этом смысле	1	1
11	в ответ на	1	1
12	в соответствии с	1	1
13	в том же	1	1
14	тем более что	1	1
15	на первый план	2	1
16	до сих пор	4	1
17	и не может	1	1
18	в этом отношении	4	1
19	независимо от того	2	1
20	всего то что	1	1
21	точно так же	1	1
22	но и как	1	1
23	по крайней мере	1	1
24	и то что	1	1
25	и в то	1	1
26	одно и то	2	1
27	но и это	1	1
28	едва ли не	1	1
29	следует рассматривать в	1	1
30	так же как	5	1
31	к вопросу о	1	1
32	в высшей степени	4	1
33	в конце концов	1	1
34	тем что как	1	1
35	и то же	2	1
36	в известном смысле	2	1
37	и в этом	1	1
38	или по крайней	1	1
39	а с другой	2	1
40	не только как	1	1
41	что к этому	1	1
42	во всяком случае	3	1
43	что у него	1	1
44	с другой стороны	9	1
45	шаг за шагом	2	1
46	тем не менее	1	1
47	есть все основания	2	1
48	но об этом	1	1
49	в его поведении	1	1
50	что в этой	1	1
51	заключается в том	6	1
52	в то время	5	1
53	в свою очередь	3	1
54	о том что	6	1
55	и никогда не	1	1
56	не только не	1	1
57	с помощью которых	1	1
58	между тем это	1	1
59	на то что	3	1
60	речь идет о	2	1
