N	4gram	Nazirov_Tv_2	VrazhdaK
1	в то же время	7	4
2	но в то же	1	2
3	заметках о летних впечатлениях	2	1
4	истории человечества и в	1	1
5	так же быть может	1	1
6	идиот и их прототипы	1	1
7	романтизма и считает односторонним	1	1
8	смеха и начинается с	1	1
9	нем самом потерпело неудачу	1	1
10	мнение современного испанского писателя	1	1
11	дать лишь характеристику самой	1	1
12	архаического смеха и начинается	1	1
13	в конце х годов	1	1
14	потерпело неудачу наше чувство	1	1
15	а с другой стороны	1	1
16	характеристику самой сложности понятия	1	1
17	но нас интересует другое	1	1
18	величайшей книгой в истории	1	1
19	с дон кихота сервантеса	1	1
20	от архаического смеха и	1	1
21	и не может быть	2	1
22	грустной из книг такое	1	1
23	достоевский признавал этот роман	1	1
24	самой сложности понятия юмор	1	1
25	кихота сервантеса достоевский признавал	1	1
26	начала дать лишь характеристику	1	1
27	в этот период достоевский	1	1
28	над тем что он	1	1
29	этот роман величайшей книгой	1	1
30	и в то же	2	1
31	юмор сервантеса смеявшегося над	1	1
32	же быть может как	1	1
33	с маркизом де садом	1	1
34	самом потерпело неудачу наше	1	1
35	в нем самом потерпело	1	1
36	человечества и в то	1	1
37	во всяком случае о	1	1
38	глубине души любил и	1	1
39	книгой в истории человечества	1	1
40	книг такое понимание юмора	1	1
41	начинается с дон кихота	1	1
42	сам в глубине души	1	1
43	как и у чехова	1	1
44	от апреля года достоевский	1	1
45	подменяя специальных обзоров попытаемся	1	1
46	наше чувство юмора так	1	1
47	то же время самой	1	1
48	юмор достоевского не подменяя	1	1
49	что он сам в	1	1
50	герои романа идиот и	1	1
51	нас испанцев настоящий юмор	1	1
52	достоевского с маркизом де	1	1
53	быть может как и	1	1
54	неудачу наше чувство юмора	1	1
55	попытаемся для начала дать	1	1
56	смеявшегося над тем что	1	1
57	не подменяя специальных обзоров	1	1
58	сравнивал достоевского с маркизом	1	1
59	самой грустной из книг	1	1
60	же время самой грустной	1	1
61	и считает односторонним интересно	1	1
62	и сам достоевский в	1	1
63	современного испанского писателя для	1	1
64	роман величайшей книгой в	1	1
65	юмора так же быть	1	1
66	испанского писателя для нас	1	1
67	сервантеса смеявшегося над тем	1	1
68	он сам в глубине	1	1
69	романа идиот и их	1	1
70	души любил и что	1	1
71	признавал этот роман величайшей	1	1
72	писателя для нас испанцев	1	1
73	сервантеса достоевский признавал этот	1	1
74	отличается от архаического смеха	1	1
75	в глубине души любил	1	1
76	может как и у	1	1
77	нас интересует другое достоевский	1	1
78	обзоров попытаемся для начала	1	1
79	тем что он сам	1	1
80	и что в нем	1	1
81	специальных обзоров попытаемся для	1	1
82	чувство юмора так же	1	1
83	дон кихота сервантеса достоевский	1	1
84	эпохой романтизма и считает	1	1
85	зимних заметках о летних	2	1
86	время самой грустной из	1	1
87	из книг такое понимание	1	1
88	это юмор сервантеса смеявшегося	1	1
89	в преступлении и наказании	10	1
90	для нас испанцев настоящий	1	1
91	любил и что в	1	1
92	считает односторонним интересно в	1	1
93	лишь характеристику самой сложности	1	1
94	для начала дать лишь	1	1
95	в зимних заметках о	2	1
96	достоевского не подменяя специальных	1	1
97	достоевского не стоит преувеличивать	1	1
98	и начинается с дон	1	1
99	что в нем самом	1	1
100	в истории человечества и	1	1
