N	2gram	Bakhtin_Pr_1	VerxiiNi
1	и в	23	26
2	таким образом	11	22
3	в этом	25	15
4	вместе с	2	15
5	точки зрения	21	13
6	как бы	28	12
7	в том	11	11
8	из этих	2	10
9	не только	13	10
10	и с	4	10
11	может быть	21	10
12	в области	3	9
13	так как	7	9
14	но и	11	9
15	что в	8	9
16	но не	8	8
17	и у	4	8
18	с другой	2	8
19	и не	34	8
20	как на	2	8
21	но в	4	7
22	но все	4	7
23	из них	2	7
24	том что	9	7
25	потому что	12	7
26	к нему	3	7
27	то что	18	7
28	а с	1	7
29	все же	5	6
30	все эти	8	6
31	в себе	5	6
32	всяком случае	3	6
33	с точки	15	6
34	в отношении	2	6
35	к тому	1	6
36	так и	10	6
37	о том	2	6
38	в конце	5	6
39	что и	5	6
40	несмотря на	6	6
41	и потому	3	6
42	все это	7	6
43	мы должны	2	6
44	во всяком	4	6
45	отношение к	1	5
46	сих пор	2	5
47	и к	4	5
48	в мире	7	5
49	лишь в	3	5
50	по крайней	2	5
51	того чтобы	4	5
52	никогда не	5	5
53	с другом	3	5
54	для того	2	5
55	в его	24	5
56	крайней мере	2	5
57	до сих	2	5
58	а не	20	5
59	друг с	3	5
60	и для	3	5
61	так же	6	5
62	одной из	1	5
63	в котором	2	4
64	то же	10	4
65	в самом	8	4
66	в этой	4	4
67	и по	2	4
68	что все	3	4
69	то есть	24	4
70	с другими	7	4
71	он не	4	4
72	далеко не	1	4
73	и тогда	1	4
74	в которых	2	4
75	в то	10	4
76	в нем	20	4
77	а в	7	4
78	что оно	1	4
79	и что	1	4
80	и только	1	4
81	только в	8	4
82	на этот	2	4
83	ничем не	1	4
84	не может	11	4
85	из которых	2	4
86	в смысле	2	4
87	и от	1	4
88	в этих	2	4
89	что он	10	4
90	же как	1	3
91	на западе	2	3
92	из всех	1	3
93	в своем	8	3
94	и нет	1	3
95	и как	8	3
96	за собой	1	3
97	в которой	4	3
98	что это	1	3
99	друг за	1	3
100	при этом	3	3
101	всегда и	1	3
102	и при	1	3
103	если бы	10	3
104	не менее	1	3
