N	2gram	Tiupa_Hudo_1	Vvedenie
1	и в	19	32
2	в том	18	31
3	в этом	11	30
4	том что	8	26
5	может быть	14	26
6	не только	16	22
7	для того	2	21
8	того чтобы	2	20
9	таким образом	3	19
10	также и	1	18
11	то что	4	16
12	потому что	3	15
13	так как	1	15
14	не может	7	14
15	в самом	5	13
16	в нем	5	13
17	о том	2	13
18	со стороны	2	13
19	в их	5	12
20	представляет собой	10	12
21	в его	9	12
22	того что	4	12
23	только в	5	12
24	и не	15	12
25	как мы	1	11
26	в ее	5	11
27	в данном	4	11
28	что такое	1	11
29	что в	6	10
30	то же	10	9
31	в истории	1	9
32	и как	3	9
33	но в	7	9
34	по себе	2	9
35	как об	1	9
36	между тем	4	9
37	в той	3	9
38	этом смысле	3	9
39	а только	4	8
40	это не	2	8
41	не в	7	8
42	тем не	3	8
43	не менее	3	8
44	с другой	7	8
45	именно в	2	8
46	но не	11	7
47	было бы	1	7
48	точки зрения	10	7
49	дело с	1	7
50	прежде всего	4	7
51	о котором	1	7
52	и это	2	6
53	из этих	3	6
54	его в	2	6
55	как и	2	6
56	представить себе	1	6
57	вовсе не	2	6
58	в то	6	6
59	в качестве	24	6
60	же время	5	6
61	тем что	1	6
62	не могут	1	6
63	один из	2	6
64	и его	12	6
65	и даже	1	6
66	но и	10	6
67	а именно	2	6
68	все это	2	6
69	культуры как	1	6
70	одним из	1	5
71	мере в	1	5
72	а как	1	5
73	в целом	3	5
74	иное как	1	5
75	в широком	1	5
76	с их	2	5
77	об этом	2	5
78	на почве	3	5
79	и тем	2	5
80	в них	2	5
81	но если	1	5
82	сказать что	4	5
83	могут быть	4	5
84	имеет дело	1	5
85	так что	1	5
86	не есть	1	5
87	представляют собой	1	5
88	что не	1	5
89	а не	9	5
90	по своему	2	5
91	как бы	9	5
92	той мере	1	5
93	другой стороны	5	5
94	в какой	2	5
95	вместе с	1	5
96	и то	4	4
97	как это	5	4
98	связи между	1	4
99	в первом	1	4
100	той же	1	4
101	мы имеем	6	4
102	что иное	1	4
103	по отношению	9	4
104	как уже	2	4
105	уже не	4	4
106	так или	3	4
107	в себе	9	4
108	должен был	1	4
109	в своей	5	4
110	в котором	1	4
111	по крайней	1	4
112	не имеет	1	4
113	нельзя не	1	4
114	в тексте	9	4
115	в каждом	1	4
116	и т.д	3	4
117	времени и	2	4
118	внимание на	1	4
119	и что	3	4
120	крайней мере	1	4
121	еще не	3	4
122	что он	3	4
123	и ее	3	4
124	с одной	2	4
125	речь в	1	4
126	одно из	2	4
127	как раз	3	4
128	в особенности	1	4
129	одной стороны	2	4
130	или иначе	4	4
131	еще и	1	4
132	быть названо	2	4
133	о чем	2	4
134	с этой	1	4
135	этом случае	1	4
136	и для	2	4
137	об искусстве	1	4
138	особого рода	5	4
139	а в	12	4
140	не что	1	4
141	отношению к	9	4
142	и есть	1	3
143	в сущности	1	3
144	говорить о	3	3
145	не вполне	2	3
146	в виду	5	3
147	и на	2	3
148	в различных	1	3
149	в чем	2	3
150	своего рода	5	3
151	сама по	2	3
152	в центре	1	3
153	хотя и	3	3
154	и к	3	3
155	сливается с	1	3
156	бы и	1	3
157	что это	1	3
158	все эти	2	3
159	в этой	2	3
160	в известном	1	3
161	что она	2	3
162	при этом	13	3
163	если бы	3	3
164	не как	2	3
165	отношений между	1	3
166	на этом	1	3
167	на нее	1	3
168	заключается в	2	3
169	отчет в	1	3
170	духовной жизни	1	3
171	в этих	3	3
172	от себя	3	3
173	текст и	1	3
174	однако в	4	3
175	дело в	1	3
176	дело не	2	3
177	своей природе	2	3
178	связи с	1	3
179	как будто	1	3
180	языков в	1	3
181	в области	6	3
182	в каком	2	3
183	том отношении	1	3
184	языка в	4	3
185	прошлом и	1	3
186	должен быть	1	3
187	в собственном	1	3
188	что может	2	3
189	истории литературы	2	3
190	можно сказать	5	3
191	а также	5	3
192	времени в	2	3
193	в конечном	5	3
194	к нему	3	3
195	известном смысле	1	3
196	одной из	2	3
197	что даже	1	3
198	может оказаться	2	3
199	до нас	1	3
200	из них	1	3
201	в известной	1	3
202	в одном	2	3
203	в конце	1	3
204	что и	2	3
205	отношение к	5	3
206	может служить	2	3
207	он мог	1	3
208	отношении что	1	3
209	в текстах	2	3
210	говорит о	1	3
211	из наиболее	1	3
212	зависит от	1	3
213	так же	2	3
214	в строгом	1	3
215	такого рода	10	3
216	действительность в	1	3
217	в своем	2	3
218	но с	1	3
219	каждой из	1	3
220	к тому	4	3
221	в результате	1	3
222	культуры в	2	3
223	в частности	13	3
224	же как	1	2
225	искусство и	1	2
226	художественных произведений	1	2
227	из его	1	2
228	есть не	1	2
229	жизни как	3	2
230	и со	1	2
231	что можно	3	2
232	которое в	1	2
233	того же	2	2
234	в каждой	1	2
235	время в	1	2
236	тогда как	13	2
237	по признаку	1	2
238	большей части	2	2
239	и те	1	2
240	не следует	4	2
241	и совершенно	1	2
242	в принципе	5	2
243	в силу	1	2
244	данном отношении	1	2
245	подобно тому	1	2
246	не бывает	1	2
247	и наоборот	1	2
248	в другом	3	2
249	входит в	4	2
250	в соответствии	1	2
251	в прошлом	1	2
252	соответствии с	1	2
253	как сказано	1	2
254	должно быть	1	2
255	из того	1	2
256	с точки	3	2
257	состоит в	16	2
258	не столько	3	2
259	как совокупность	1	2
260	не могли	1	2
261	том же	1	2
262	тому что	2	2
263	в отношении	3	2
264	на котором	1	2
265	одна из	2	2
266	без остатка	2	2
267	это еще	1	2
268	никогда не	2	2
269	казалось бы	1	2
270	его можно	1	2
271	до того	1	2
272	этого термина	2	2
273	у нас	1	2
274	художественной литературы	2	2
275	деятельности и	1	2
276	когда мы	1	2
277	в совокупности	1	2
278	той или	4	2
279	рядом с	1	2
280	значение в	1	2
281	и сам	1	2
282	так и	11	2
283	не с	2	2
284	собой в	1	2
285	мог бы	3	2
286	для этого	1	2
287	же самое	1	2
288	к языку	1	2
289	и здесь	1	2
290	искусства и	1	2
291	к действительности	3	2
292	в значительной	1	2
293	вопросу о	1	2
294	во всех	3	2
295	тем или	1	2
296	однако с	2	2
297	во втором	4	2
298	нуждается в	1	2
299	в форме	4	2
300	тем более	1	2
301	по содержанию	1	2
302	быть и	2	2
303	здесь не	2	2
304	языка на	1	2
305	по этому	1	2
306	языка а	1	2
307	с системой	1	2
308	или иной	7	2
309	по его	1	2
310	и др	2	2
311	не было	1	2
312	литературное произведение	1	2
313	языка не	1	2
314	в связи	1	2
315	мы говорим	1	2
316	из которых	1	2
317	этих случаях	1	2
318	этого слова	2	2
319	тому как	1	2
320	говорится у	1	2
321	и развития	1	2
322	в более	1	2
323	не существует	1	2
324	котором он	1	2
325	между ними	4	2
326	обе эти	1	2
327	это может	1	2
328	бы в	1	2
329	ни к	2	2
330	нами не	1	2
331	нам не	1	2
332	природе и	1	2
333	он и	1	2
334	или иным	3	2
335	жизни и	1	2
336	точно так	1	2
337	и другие	2	2
338	я и	7	1
339	обращена к	1	1
340	например в	3	1
341	значении этого	4	1
342	человека к	3	1
343	это и	1	1
344	как такового	1	1
345	на деле	3	1
346	отношения между	1	1
347	можно говорить	1	1
348	его смысле	1	1
349	др в	1	1
350	отношения к	2	1
351	включая и	1	1
352	которыми он	1	1
353	самые разнообразные	1	1
354	и последующих	1	1
355	таком случае	1	1
356	самой себе	1	1
357	требует от	1	1
358	в полной	1	1
359	таковы например	2	1
360	к общему	1	1
361	прямо как	1	1
362	вовсе может	1	1
363	на них	1	1
364	что его	1	1
365	более того	1	1
366	иного рода	1	1
367	в область	1	1
368	но как	2	1
369	что способно	1	1
370	дело обстоит	1	1
371	в сторону	2	1
372	одном и	1	1
373	русского языка	1	1
374	искусство в	1	1
375	как в	2	1
376	этого типа	1	1
377	а через	1	1
378	отличие от	7	1
379	себе отчет	1	1
380	или иное	1	1
381	что они	1	1
382	и эстетического	1	1
383	к автору	1	1
384	и я	1	1
385	не входят	1	1
386	каждая из	2	1
387	как к	2	1
388	ними и	1	1
389	разного рода	1	1
390	говорит что	2	1
391	это тоже	2	1
392	более или	5	1
393	что входит	1	1
394	или иную	1	1
395	то в	2	1
396	для которого	2	1
397	в которой	2	1
398	духом в	1	1
399	не совпадает	1	1
400	у каждого	1	1
401	достоевского в	1	1
402	именно такого	1	1
403	раз в	1	1
404	или живописи	1	1
405	говорят о	1	1
406	имеем в	3	1
407	тому же	1	1
408	во многих	1	1
409	на то	1	1
410	если он	1	1
411	но на	1	1
412	не могла	1	1
413	вследствие этого	1	1
414	на его	1	1
415	с чем	1	1
416	в статье	1	1
417	время и	1	1
418	в реальной	1	1
419	мысли более	1	1
420	он должен	3	1
421	уже говорилось	1	1
422	чтобы в	1	1
423	заключает в	1	1
424	одно и	3	1
425	подход к	1	1
426	то ни	1	1
427	этом втором	1	1
428	а затем	1	1
429	что все	1	1
430	с позиций	2	1
431	особенности в	1	1
432	лишь в	4	1
433	того или	3	1
434	восприятия в	1	1
435	искусства в	4	1
436	живописи или	2	1
437	что неизбежно	1	1
438	лишь на	1	1
439	заинтересована в	1	1
440	чаще всего	1	1
441	в итоге	2	1
442	к области	3	1
443	в слове	3	1
444	не всегда	1	1
445	этим и	1	1
446	иначе говоря	4	1
447	автора и	3	1
448	и того	2	1
449	одного и	2	1
450	перед собой	1	1
