N	3gram	Trubetskoy_1	Dialekti
1	с точки зрения	6	12
2	в том что	3	7
3	то же время	2	4
4	по крайней мере	5	4
5	с другой стороны	1	4
6	на то что	2	4
7	в то же	2	4
8	более или менее	5	3
9	не имеет никакого	1	3
10	только то что	1	3
11	может быть и	2	3
12	в конце концов	3	3
13	и в этом	2	3
14	иметь в виду	1	3
15	не может быть	1	3
16	ничего общего с	2	3
17	можно сказать что	2	3
18	той или иной	2	3
19	до сих пор	5	2
20	и в то	1	2
21	потому что и	2	2
22	но все это	2	2
23	в этом отношении	2	2
24	точно так же	3	2
25	то или иное	2	2
26	и состоит из	1	2
27	может и не	1	2
28	с одной стороны	7	2
29	по сравнению с	2	2
30	или по крайней	1	2
31	друг к другу	1	2
32	во всяком случае	6	2
33	это и есть	1	2
34	о том что	4	2
35	а с точки	1	2
36	людей и богов	1	1
37	а между тем	1	1
38	крайней мере в	1	1
39	а потому что	1	1
40	и есть то	1	1
41	сказать что в	1	1
42	надо помнить что	1	1
43	то ясно что	2	1
44	в самом деле	1	1
45	так или иначе	3	1
46	очень много но	1	1
47	те и другие	2	1
48	о мире как	1	1
49	и из которого	1	1
50	до известной степени	1	1
51	сами по себе	1	1
52	не существует ибо	1	1
53	но для этого	1	1
54	все это мы	1	1
55	это как не	1	1
56	не указывает на	1	1
57	не потому что	1	1
58	но в то	1	1
59	но эта связь	1	1
60	в то время	1	1
61	которые могли бы	1	1
62	с ней и	1	1
63	не в том	1	1
64	в связи с	3	1
65	то что он	2	1
66	в первую очередь	1	1
67	что оно имеет	1	1
68	а в том	1	1
69	сих пор не	1	1
70	что учение о	1	1
71	может ли быть	1	1
72	но в конце	1	1
73	что это как	1	1
74	с самого начала	2	1
75	ничего подобного нет	1	1
76	он не имеет	2	1
77	может показаться что	1	1
78	что это есть	1	1
79	и так и	1	1
80	добра и зла	1	1
81	но все же	4	1
82	весь мир то	1	1
83	и что она	1	1
84	тем не менее	3	1
85	друг с другом	5	1
86	для того чтобы	5	1
87	том или ином	1	1
88	отчасти может быть	1	1
89	к тому же	4	1
90	то же самое	2	1
